9460000000.0000	  -0.3051	  -0.3036	  -0.2353	  -0.8572	  -0.2365	  -0.8563	  -0.0880	   0.4180
9481000000.0000	  -0.3050	  -0.3029	  -0.2413	  -0.8573	  -0.2411	  -0.8570	  -0.0842	   0.4193
9502000000.0000	  -0.3059	  -0.3024	  -0.2457	  -0.8560	  -0.2477	  -0.8558	  -0.0798	   0.4194
9523000000.0000	  -0.3069	  -0.3028	  -0.2508	  -0.8543	  -0.2531	  -0.8532	  -0.0760	   0.4215
9544000000.0000	  -0.3072	  -0.3016	  -0.2568	  -0.8533	  -0.2591	  -0.8520	  -0.0729	   0.4217
9565000000.0000	  -0.3074	  -0.3009	  -0.2622	  -0.8512	  -0.2639	  -0.8510	  -0.0690	   0.4227
9586000000.0000	  -0.3069	  -0.3002	  -0.2665	  -0.8477	  -0.2681	  -0.8497	  -0.0640	   0.4236
9607000000.0000	  -0.3072	  -0.2997	  -0.2723	  -0.8494	  -0.2734	  -0.8482	  -0.0585	   0.4233
9628000000.0000	  -0.3074	  -0.2997	  -0.2750	  -0.8446	  -0.2775	  -0.8456	  -0.0545	   0.4251
9649000000.0000	  -0.3084	  -0.3001	  -0.2794	  -0.8452	  -0.2835	  -0.8464	  -0.0495	   0.4255
9670000000.0000	  -0.3090	  -0.2998	  -0.2855	  -0.8435	  -0.2898	  -0.8439	  -0.0458	   0.4258
9691000000.0000	  -0.3096	  -0.2987	  -0.2912	  -0.8431	  -0.2942	  -0.8408	  -0.0417	   0.4268
9712000000.0000	  -0.3102	  -0.2982	  -0.2975	  -0.8415	  -0.2987	  -0.8390	  -0.0378	   0.4271
9733000000.0000	  -0.3109	  -0.2981	  -0.3014	  -0.8362	  -0.3032	  -0.8365	  -0.0328	   0.4288
9754000000.0000	  -0.3106	  -0.2980	  -0.3055	  -0.8359	  -0.3080	  -0.8342	  -0.0273	   0.4287
9775000000.0000	  -0.3101	  -0.2969	  -0.3101	  -0.8332	  -0.3128	  -0.8330	  -0.0220	   0.4295
9796000000.0000	  -0.3113	  -0.2973	  -0.3137	  -0.8313	  -0.3177	  -0.8325	  -0.0176	   0.4299
9817000000.0000	  -0.3125	  -0.2967	  -0.3212	  -0.8312	  -0.3245	  -0.8295	  -0.0127	   0.4298
