

-----------------------------------------------------------------------------
       Gamma-Scout    -- Calculation of Raw-Data --
-----------------------------------------------------------------------------
       "File : GAMMA_2008_02_24_21-33-08.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second)
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.
Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------------------------------------------------------------
                                PROCESSED DATA :
-----------------------------------------------------------------------------
Nr.	Range   	from	            to			Counts		Rate		Dose
-----------------------------------------------------------------------------
 117	10 min	18:14 24.02.08	18:24 24.02.08	0000000313	0.522 	0.340  
 118	10 min	18:24 24.02.08	18:34 24.02.08	0000000292	0.487 	0.317  
 119	10 min	18:34 24.02.08	18:44 24.02.08	0000000298	0.497 	0.324  
 120	10 min	18:44 24.02.08	18:54 24.02.08	0000000303	0.505 	0.329  
 121	10 min	18:54 24.02.08	19:04 24.02.08	0000000309	0.515 	0.336  
 122	10 min	19:04 24.02.08	19:14 24.02.08	0000000306	0.510 	0.332  
 123	10 min	19:14 24.02.08	19:24 24.02.08	0000000288	0.480 	0.313  
 124	10 min	19:24 24.02.08	19:34 24.02.08	0000000311	0.518 	0.338  
 125	10 min	19:34 24.02.08	19:44 24.02.08	0000000292	0.487 	0.317  
 126	10 min	19:44 24.02.08	19:54 24.02.08	0000000309	0.515 	0.336  
 127	10 min	19:54 24.02.08	20:04 24.02.08	0000000299	0.498 	0.325  
 128	10 min	20:04 24.02.08	20:14 24.02.08	0000000303	0.505 	0.329  
 129	10 min	20:14 24.02.08	20:24 24.02.08	0000000287	0.478 	0.312  
 130	10 min	20:24 24.02.08	20:34 24.02.08	0000000288	0.480 	0.313  
 131	10 min	20:34 24.02.08	20:44 24.02.08	0000000294	0.490 	0.319  
 132	10 min	20:44 24.02.08	20:54 24.02.08	0000000284	0.473 	0.308  
 133	10 min	20:54 24.02.08	21:04 24.02.08	0000000312	0.520 	0.339  
 134	10 min	21:04 24.02.08	21:14 24.02.08	0000000323	0.538 	0.351  
 135	10 min	21:14 24.02.08	21:24 24.02.08	0000000315	0.525 	0.342  
 136	10 min	21:24 24.02.08	21:34 24.02.08	0000000322	0.537 	0.350  
 137	10 min	21:34 24.02.08	21:44 24.02.08	0000000306	0.510 	0.332  
 138	10 min	21:44 24.02.08	21:54 24.02.08	0000000323	0.538 	0.351  
 139	10 min	21:54 24.02.08	22:04 24.02.08	0000000292	0.487 	0.317  
 140	10 min	22:04 24.02.08	22:14 24.02.08	0000000328	0.547 	0.356  
 141	10 min	22:14 24.02.08	22:24 24.02.08	0000000289	0.482 	0.314  
 142	10 min	22:24 24.02.08	22:34 24.02.08	0000000303	0.505 	0.329  
-----------------------------------------------------------------------------
