Fre(Hz)  	er	ei	ur	ui	Zin	Reflectivity
8509750000.0000	12.1328	1.7920	1.0057	0.0051	0.3887	90.2533
8512375000.0000	12.1187	1.7903	1.0099	0.0034	0.3910	90.0854
8515000000.0000	12.1083	1.8119	1.0006	0.0060	0.3859	90.2827
8517625000.0000	12.1136	1.7796	1.0142	0.0191	0.3946	91.0571
8520250000.0000	12.1335	1.8112	1.0193	0.0065	0.3974	89.9847
8522875000.0000	12.1023	1.8021	1.0190	-0.0053	0.3965	89.3011
8525500000.0000	12.1083	1.7909	1.0143	0.0125	0.3950	90.5498
8528125000.0000	12.1432	1.8112	1.0064	0.0355	0.3924	92.0236
8530750000.0000	12.1065	1.7951	0.9973	0.0162	0.3859	91.0073
8533375000.0000	12.1541	1.7850	0.9979	0.0204	0.3874	91.2959
8536000000.0000	12.1147	1.7956	1.0111	0.0113	0.3941	90.4549
8538625000.0000	12.1006	1.8420	1.0266	0.0149	0.4033	90.1759
8541250000.0000	12.1160	1.8275	1.0064	0.0134	0.3920	90.4725
8543875000.0000	12.1035	1.8225	1.0280	0.0112	0.4044	90.0014
8546500000.0000	12.1045	1.8356	1.0322	0.0007	0.4066	89.1749
8549125000.0000	12.0787	1.8335	1.0251	0.0077	0.4026	89.7592
8551750000.0000	12.0986	1.8275	1.0242	0.0148	0.4031	90.2417
8554375000.0000	12.1293	1.8599	1.0404	0.0144	0.4133	89.7361
8557000000.0000	12.1042	1.8275	1.0165	-0.0000	0.3984	89.3972
8559625000.0000	12.1410	1.8701	1.0286	0.0168	0.4071	90.0121
8562250000.0000	12.1195	1.8791	1.0347	0.0149	0.4105	89.7333
8564875000.0000	12.1209	1.8680	1.0371	0.0171	0.4123	89.8811
8567500000.0000	12.1549	1.8808	1.0351	0.0141	0.4118	89.6235
8570125000.0000	12.0826	1.8444	1.0270	0.0022	0.4055	89.2293
8572750000.0000	12.1017	1.8507	1.0196	0.0126	0.4022	89.9657
8575375000.0000	12.1069	1.8194	1.0202	0.0132	0.4029	90.1551
8578000000.0000	12.1036	1.8616	1.0368	0.0010	0.4123	88.8364
8580625000.0000	12.1051	1.8248	1.0243	0.0167	0.4060	90.2658
8583250000.0000	12.1264	1.8557	1.0311	0.0163	0.4106	89.9303
8585875000.0000	12.1336	1.8376	1.0266	0.0129	0.4081	89.8739
8588500000.0000	12.1085	1.8241	1.0206	0.0077	0.4041	89.7166
8591125000.0000	12.1453	1.8164	1.0245	0.0204	0.4080	90.4964
8593750000.0000	12.1340	1.8512	1.0245	0.0192	0.4080	90.2180
8596375000.0000	12.1396	1.8477	1.0176	0.0142	0.4039	90.0156
8599000000.0000	12.1222	1.8532	1.0185	0.0137	0.4044	89.9344
8601625000.0000	12.1339	1.8217	1.0154	0.0260	0.4037	90.9611
8604250000.0000	12.1512	1.8096	1.0039	0.0144	0.3968	90.4332
8606875000.0000	12.1040	1.8369	1.0186	0.0220	0.4054	90.5470
8609500000.0000	12.1265	1.8297	1.0198	0.0165	0.4064	90.1855
8612125000.0000	12.1296	1.8142	1.0277	0.0162	0.4115	90.1029
8614750000.0000	12.1343	1.8689	1.0246	0.0280	0.4105	90.6185
8617375000.0000	12.1107	1.8192	1.0242	0.0134	0.4093	89.9450
8620000000.0000	12.1525	1.8176	1.0120	0.0316	0.4041	91.3451
8622625000.0000	12.1391	1.8027	1.0159	0.0087	0.4052	89.8301
8625250000.0000	12.1697	1.8478	1.0276	0.0254	0.4138	90.4645
8627875000.0000	12.1287	1.8412	1.0197	0.0215	0.4084	90.3833
8630500000.0000	12.1212	1.8361	1.0331	0.0269	0.4169	90.5367
8633125000.0000	12.1082	1.7783	1.0045	0.0056	0.3987	89.9287
8635750000.0000	12.1519	1.8094	1.0218	0.0268	0.4111	90.8488
8638375000.0000	12.0594	1.8661	1.0272	-0.0047	0.4113	88.3859
8641000000.0000	12.1381	1.7789	1.0143	0.0156	0.4063	90.3838
8643625000.0000	12.1034	1.8109	1.0122	0.0185	0.4048	90.4377
8646250000.0000	12.1340	1.7485	0.9996	0.0136	0.3978	90.6446
8648875000.0000	12.1180	1.7661	1.0082	0.0194	0.4033	90.7898
8651500000.0000	12.1010	1.8665	1.0203	0.0056	0.4096	89.0932
8654125000.0000	12.0675	1.7814	0.9981	-0.0007	0.3959	89.5572
8656750000.0000	12.0607	1.8110	1.0082	0.0101	0.4025	89.9171
8659375000.0000	12.0809	1.8323	1.0060	0.0113	0.4018	89.8972
8662000000.0000	12.0800	1.7933	1.0112	0.0088	0.4050	89.8500
8664625000.0000	12.0924	1.7647	1.0056	0.0182	0.4027	90.7210
8667250000.0000	12.1322	1.8224	1.0085	0.0125	0.4049	89.9297
8669875000.0000	12.1301	1.8260	1.0129	0.0076	0.4076	89.4982
8672500000.0000	12.0510	1.7910	1.0208	0.0196	0.4119	90.3925
8675125000.0000	12.1097	1.8021	1.0199	0.0148	0.4124	89.9816
8677750000.0000	12.1175	1.8142	1.0078	0.0170	0.4055	90.2548
8680375000.0000	12.0980	1.8458	1.0085	0.0033	0.4051	89.1534
8683000000.0000	12.0764	1.8212	1.0180	0.0226	0.4118	90.4190
8685625000.0000	12.1121	1.8236	1.0138	0.0200	0.4100	90.2776
8688250000.0000	12.1165	1.8095	0.9930	0.0093	0.3972	89.9882
8690875000.0000	12.0997	1.8197	1.0131	0.0092	0.4092	89.5694
8693500000.0000	12.1156	1.8332	1.0112	0.0147	0.4089	89.8731
8696125000.0000	12.0982	1.8165	1.0232	0.0145	0.4162	89.7410
8698750000.0000	12.0737	1.8242	1.0210	0.0089	0.4143	89.3622
8701375000.0000	12.0776	1.8170	1.0138	0.0111	0.4104	89.6724
8704000000.0000	12.0664	1.8201	1.0247	0.0133	0.4172	89.6003
8706625000.0000	12.1053	1.8036	1.0138	0.0174	0.4117	90.1401
8709250000.0000	12.1268	1.8434	1.0142	0.0310	0.4134	90.8149
8711875000.0000	12.1343	1.8582	1.0298	0.0150	0.4225	89.3274
8714500000.0000	12.1170	1.8612	1.0310	0.0285	0.4240	90.2161
8717125000.0000	12.1295	1.8449	1.0331	0.0270	0.4257	90.1567
8719750000.0000	12.0972	1.8442	1.0197	0.0229	0.4168	90.1265
8722375000.0000	12.0808	1.8676	1.0237	0.0006	0.4179	88.4024
8725000000.0000	12.0757	1.8247	1.0189	0.0156	0.4160	89.7489
8727625000.0000	12.0959	1.8329	1.0283	0.0154	0.4225	89.4865
8730250000.0000	12.0814	1.8628	1.0288	0.0094	0.4223	88.8896
8732875000.0000	12.1515	1.7982	1.0186	0.0343	0.4191	91.1480
8735500000.0000	12.1191	1.8242	1.0252	0.0268	0.4224	90.3472
8738125000.0000	12.0863	1.8620	1.0239	0.0105	0.4202	89.0261
8740750000.0000	12.0585	1.8085	1.0130	0.0250	0.4141	90.5381
8743375000.0000	12.0600	1.8128	1.0052	0.0102	0.4088	89.6302
8746000000.0000	12.0945	1.8055	1.0144	0.0214	0.4159	90.2498
8748625000.0000	12.1508	1.7748	1.0140	0.0205	0.4169	90.3379
8751250000.0000	12.0692	1.8580	1.0120	0.0167	0.4142	89.6541
8753875000.0000	12.1352	1.8038	1.0221	0.0235	0.4224	90.2152
8756500000.0000	12.1239	1.8371	1.0110	0.0184	0.4151	89.8623
8759125000.0000	12.1254	1.8011	1.0118	0.0128	0.4156	89.6562
8761750000.0000	12.1159	1.7983	1.0158	0.0113	0.4182	89.4877
8764375000.0000	12.1415	1.7885	1.0184	0.0153	0.4208	89.7545
8767000000.0000	12.1494	1.7988	1.0143	0.0131	0.4184	89.5984
8769625000.0000	12.1650	1.8138	1.0083	0.0195	0.4156	90.0521
8772250000.0000	12.1563	1.7892	1.0055	0.0138	0.4136	89.8449
8774875000.0000	12.1275	1.7855	1.0055	0.0118	0.4133	89.7297
8777500000.0000	12.1314	1.8121	1.0199	0.0221	0.4232	90.0139
8780125000.0000	12.1444	1.7975	1.0126	0.0244	0.4192	90.3884
8782750000.0000	12.1406	1.8007	1.0073	0.0181	0.4157	90.0088
8785375000.0000	12.1431	1.8392	1.0099	0.0158	0.4174	89.5572
8788000000.0000	12.1397	1.8485	1.0190	0.0281	0.4242	90.1900
8790625000.0000	12.1553	1.8321	1.0158	0.0374	0.4233	91.0042
8793250000.0000	12.1208	1.8101	1.0129	0.0136	0.4196	89.5025
8795875000.0000	12.1403	1.8342	1.0222	0.0142	0.4262	89.1987
8798500000.0000	12.1031	1.8085	1.0118	0.0180	0.4194	89.8339
8801125000.0000	12.1951	1.8329	1.0069	0.0299	0.4190	90.5707
8803750000.0000	12.1049	1.8330	1.0071	0.0277	0.4175	90.4353
8806375000.0000	12.1513	1.8086	1.0164	0.0269	0.4245	90.3229
8809000000.0000	12.1486	1.8068	1.0166	0.0192	0.4244	89.7690
8811625000.0000	12.1105	1.7843	1.0006	0.0185	0.4138	90.1596
8814250000.0000	12.1074	1.7687	0.9989	0.0259	0.4134	90.7987
8816875000.0000	12.0962	1.8461	1.0074	-0.0060	0.4168	87.9574
8819500000.0000	12.1458	1.8330	1.0147	0.0140	0.4238	89.2351
8822125000.0000	12.1215	1.7698	1.0039	0.0268	0.4176	90.7348
8824750000.0000	12.0768	1.8064	1.0036	0.0183	0.4163	89.9287
8827375000.0000	12.0844	1.7667	0.9885	0.0085	0.4067	89.7391
8830000000.0000	12.0882	1.8138	1.0102	0.0123	0.4209	89.3101
8832625000.0000	12.1304	1.7958	1.0130	0.0147	0.4239	89.4981
8835250000.0000	12.0878	1.8027	1.0049	0.0246	0.4187	90.3247
8837875000.0000	12.0951	1.8091	1.0090	0.0177	0.4213	89.7082
8840500000.0000	12.0841	1.7962	1.0098	0.0245	0.4223	90.2504
8843125000.0000	12.1291	1.8052	1.0104	0.0125	0.4231	89.2896
8845750000.0000	12.0814	1.8230	1.0068	0.0115	0.4200	89.1991
8848375000.0000	12.0848	1.8056	1.0053	0.0156	0.4197	89.6096
8851000000.0000	12.0777	1.7819	0.9998	0.0180	0.4165	90.0199
8853625000.0000	12.0661	1.8176	1.0042	0.0092	0.4187	89.0968
8856250000.0000	12.1155	1.7857	1.0031	0.0256	0.4202	90.4401
8858875000.0000	12.0822	1.7994	1.0040	0.0059	0.4193	88.9431
8861500000.0000	12.1353	1.7889	1.0058	0.0200	0.4225	89.9380
8864125000.0000	12.0359	1.7986	1.0025	0.0107	0.4182	89.3224
8866750000.0000	12.0866	1.8637	1.0143	0.0008	0.4263	87.9569
8869375000.0000	12.0716	1.8050	1.0086	0.0083	0.4231	88.9560
8872000000.0000	12.1021	1.8053	0.9947	0.0102	0.4152	89.3204
8874625000.0000	12.0743	1.7639	0.9984	0.0145	0.4176	89.8159
8877250000.0000	12.0686	1.7683	1.0005	0.0142	0.4191	89.7165
8879875000.0000	12.1398	1.7871	1.0026	0.0241	0.4226	90.2362
8882500000.0000	12.1128	1.7683	1.0043	0.0164	0.4230	89.7615
8885125000.0000	12.0707	1.8025	0.9905	0.0086	0.4131	89.2724
8887750000.0000	12.0933	1.7904	1.0111	0.0150	0.4274	89.3824
8890375000.0000	12.1578	1.8549	1.0297	0.0014	0.4403	87.5616
8893000000.0000	12.0863	1.7687	0.9960	0.0131	0.4180	89.6525
8895625000.0000	12.1173	1.7528	0.9982	0.0347	0.4216	91.2600
8898250000.0000	12.1624	1.8226	1.0163	0.0309	0.4343	90.1657
8900875000.0000	12.1069	1.8339	1.0020	0.0226	0.4235	89.7844
8903500000.0000	12.1886	1.8208	1.0187	0.0306	0.4370	90.0784
8906125000.0000	12.1248	1.8368	1.0136	0.0118	0.4313	88.7150
8908750000.0000	12.0941	1.8219	1.0058	0.0142	0.4260	89.1475
8911375000.0000	12.1098	1.8321	1.0067	0.0217	0.4276	89.5932
8914000000.0000	12.1063	1.8120	1.0047	0.0272	0.4269	90.1512
8916625000.0000	12.1355	1.8338	1.0075	0.0292	0.4297	90.0821
8919250000.0000	12.1355	1.8171	1.0098	0.0260	0.4313	89.8960
8921875000.0000	12.1202	1.8394	1.0045	0.0198	0.4273	89.3997
8924500000.0000	12.1385	1.8357	1.0102	0.0218	0.4318	89.4332
8927125000.0000	12.1267	1.8356	1.0131	0.0202	0.4337	89.2514
8929750000.0000	12.1001	1.8345	1.0053	0.0227	0.4284	89.6054
8932375000.0000	12.0984	1.8416	1.0009	0.0211	0.4256	89.5244
8935000000.0000	12.0960	1.8275	1.0093	0.0261	0.4317	89.8043
8937625000.0000	12.0821	1.8420	1.0084	0.0185	0.4306	89.1700
8940250000.0000	12.1128	1.8074	1.0118	0.0367	0.4350	90.6552
8942875000.0000	12.1147	1.8222	1.0130	0.0256	0.4354	89.6859
8945500000.0000	12.1338	1.8518	1.0176	0.0238	0.4390	89.2465
8948125000.0000	12.1531	1.7907	1.0094	0.0365	0.4351	90.7434
8950750000.0000	12.0833	1.7767	0.9898	0.0270	0.4204	90.5144
8953375000.0000	12.1508	1.8585	1.0313	0.0256	0.4497	89.0014
8956000000.0000	12.0618	1.8565	1.0031	0.0045	0.4276	88.1044
8958625000.0000	12.0949	1.8510	1.0151	0.0163	0.4373	88.7112
8961250000.0000	12.0802	1.8093	1.0100	0.0427	0.4358	91.0686
8963875000.0000	12.0948	1.8310	1.0052	0.0162	0.4313	89.0093
8966500000.0000	12.0467	1.8198	1.0120	0.0235	0.4356	89.5078
8969125000.0000	12.0686	1.7778	1.0072	0.0274	0.4335	90.1408
8971750000.0000	12.0933	1.7773	1.0067	0.0200	0.4334	89.5725
8974375000.0000	12.0552	1.8010	0.9914	0.0251	0.4231	90.1121
8977000000.0000	12.0990	1.7925	1.0041	0.0276	0.4328	90.0761
8979625000.0000	12.0998	1.7728	0.9978	0.0230	0.4286	89.9666
8982250000.0000	12.0836	1.8436	1.0084	0.0140	0.4349	88.6294
8984875000.0000	12.0632	1.8059	0.9920	0.0112	0.4237	88.9983
8987500000.0000	12.0711	1.8322	1.0093	0.0049	0.4352	87.9995
8990125000.0000	12.0758	1.8176	1.0008	0.0056	0.4300	88.3045
8992750000.0000	12.0573	1.8022	1.0001	0.0184	0.4302	89.3585
8995375000.0000	12.0492	1.7757	0.9880	0.0170	0.4223	89.6551
8998000000.0000	12.0626	1.7921	1.0016	0.0108	0.4314	88.8003
9000625000.0000	12.0673	1.7812	0.9992	0.0136	0.4304	89.1159
9003250000.0000	12.0559	1.7973	0.9885	0.0143	0.4233	89.2762
9005875000.0000	12.0758	1.7992	0.9938	0.0176	0.4277	89.3817
9008500000.0000	12.0449	1.7919	1.0040	0.0122	0.4338	88.8239
9011125000.0000	12.0211	1.7872	0.9923	0.0108	0.4257	88.9955
9013750000.0000	12.0619	1.7728	0.9984	0.0212	0.4315	89.7014
9016375000.0000	12.0698	1.7904	1.0092	0.0190	0.4391	89.1886
9019000000.0000	12.0488	1.7882	0.9926	0.0122	0.4273	89.0370
9021625000.0000	12.0532	1.8210	0.9997	0.0106	0.4323	88.5478
9024250000.0000	12.0632	1.8049	1.0031	0.0243	0.4360	89.5949
9026875000.0000	12.0295	1.8100	1.0130	0.0233	0.4422	89.2867
9029500000.0000	12.0677	1.7940	1.0169	0.0136	0.4453	88.5320
9032125000.0000	12.0184	1.8141	1.0072	0.0141	0.4379	88.6759
9034750000.0000	12.0705	1.7442	1.0048	0.0313	0.4390	90.4457
9037375000.0000	12.0377	1.8190	1.0131	0.0081	0.4425	88.0243
9040000000.0000	12.0382	1.7910	1.0013	0.0163	0.4354	89.0571
9042625000.0000	12.0284	1.8073	1.0015	0.0230	0.4360	89.4546
9045250000.0000	12.0254	1.7989	1.0052	0.0204	0.4385	89.2301
9047875000.0000	12.1073	1.8428	1.0335	0.0124	0.4597	87.6294
9050500000.0000	12.0431	1.8195	0.9919	0.0109	0.4297	88.6221
9053125000.0000	12.0664	1.8094	1.0019	0.0164	0.4377	88.8589
9055750000.0000	12.0099	1.7783	0.9901	0.0218	0.4292	89.7360
9058375000.0000	12.0469	1.8146	0.9961	0.0106	0.4334	88.5079
9061000000.0000	12.0837	1.8004	1.0110	0.0351	0.4465	90.1350
9063625000.0000	12.0517	1.8330	1.0200	0.0129	0.4507	88.0124
9066250000.0000	12.0846	1.8069	1.0153	0.0261	0.4494	89.2741
9068875000.0000	12.0874	1.8140	1.0124	0.0226	0.4475	89.0007
9071500000.0000	12.0512	1.7794	0.9985	0.0238	0.4374	89.6273
9074125000.0000	12.0615	1.8197	1.0154	0.0135	0.4489	88.1890
9076750000.0000	12.0880	1.8082	1.0100	0.0235	0.4467	89.1282
9079375000.0000	12.0692	1.8113	1.0076	0.0189	0.4446	88.8014
9082000000.0000	12.0576	1.7878	1.0023	0.0268	0.4415	89.6793
9084625000.0000	12.0680	1.8084	1.0072	0.0154	0.4446	88.5365
9087250000.0000	12.0593	1.7846	1.0084	0.0236	0.4461	89.3026
9089875000.0000	12.0855	1.8158	1.0144	0.0292	0.4516	89.3752
9092500000.0000	12.0610	1.8072	1.0081	0.0079	0.4453	87.9182
9095125000.0000	12.1101	1.8040	1.0067	0.0334	0.4476	89.9166
9097750000.0000	12.0622	1.8160	1.0021	0.0158	0.4423	88.5730
9100375000.0000	12.0517	1.7822	0.9939	0.0226	0.4372	89.4886
9103000000.0000	12.0661	1.8015	1.0166	0.0193	0.4534	88.5979
9105625000.0000	12.0464	1.7828	1.0089	0.0170	0.4476	88.7136
9108250000.0000	12.0272	1.8125	0.9989	0.0170	0.4405	88.7351
9110875000.0000	12.0552	1.7981	0.9955	0.0190	0.4392	89.0291
9113500000.0000	12.0544	1.8539	0.9990	0.0067	0.4409	87.6296
9116125000.0000	12.0278	1.7918	1.0169	0.0098	0.4535	87.8845
9118750000.0000	12.0492	1.7661	1.0018	0.0296	0.4451	89.9097
9121375000.0000	11.9919	1.7745	1.0006	0.0149	0.4422	88.7551
9124000000.0000	12.0775	1.8102	1.0121	0.0021	0.4515	87.1889
9126625000.0000	12.0795	1.7649	1.0124	0.0439	0.4552	90.8104
9129250000.0000	12.0663	1.7942	1.0115	0.0290	0.4534	89.4089
9131875000.0000	12.0589	1.7641	1.0022	0.0317	0.4472	90.0194
9134500000.0000	12.0131	1.7789	0.9972	0.0057	0.4410	88.0111
9137125000.0000	12.0250	1.7930	0.9896	0.0158	0.4370	88.8434
9139750000.0000	12.0288	1.7841	1.0030	0.0171	0.4467	88.6998
9142375000.0000	12.0707	1.7630	0.9922	0.0307	0.4414	90.1099
9145000000.0000	12.0193	1.7579	0.9921	0.0149	0.4393	88.9234
9147625000.0000	12.0424	1.7960	1.0146	0.0201	0.4564	88.5567
9150250000.0000	12.0089	1.8377	1.0336	0.0085	0.4686	86.9203
9152875000.0000	12.0107	1.8244	1.0131	0.0044	0.4539	87.1665
9155500000.0000	12.0328	1.8279	1.0111	0.0214	0.4545	88.4898
9158125000.0000	11.9943	1.7757	1.0081	0.0042	0.4507	87.5788
