!CSV A.01.01
!Agilent Technologies,N5230C,MY49000690,A.09.42.22
!Agilent N5230C: A.09.42.22
!Date: Tuesday, April 18, 2017 16:29:20
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
8466562500,-0.51437777,-0.32929567,-0.14275604,-0.76843226,-0.14279754,-0.76904482,-0.34390289,0.50298733
8469125000,-0.51618475,-0.32830152,-0.14196438,-0.77236623,-0.14524893,-0.77008986,-0.34625313,0.50281805
8471687500,-0.51474285,-0.32664996,-0.14479965,-0.76812613,-0.14725262,-0.76901698,-0.34249014,0.5045045
8474250000,-0.51328391,-0.32725671,-0.14358406,-0.76982766,-0.14708313,-0.76722884,-0.34266084,0.50442582
8476812500,-0.5137881,-0.3280125,-0.14375661,-0.7679261,-0.14537346,-0.76799071,-0.34226477,0.50404084
8479375000,-0.51457691,-0.32846782,-0.14614925,-0.76786655,-0.14666408,-0.76963192,-0.34102249,0.50590152
8481937500,-0.51388764,-0.32809573,-0.14529558,-0.77097064,-0.14817475,-0.76871496,-0.34078515,0.50668961
8484500000,-0.51364595,-0.32794902,-0.14575802,-0.76973355,-0.14859176,-0.76817203,-0.33957574,0.50626379
8487062500,-0.51321507,-0.32960972,-0.14669938,-0.76875395,-0.14739946,-0.76897067,-0.33869192,0.50761908
8489625000,-0.51446956,-0.32884631,-0.14858028,-0.77041513,-0.14828449,-0.76880652,-0.33848125,0.50792015
8492187500,-0.51387626,-0.32822433,-0.14798757,-0.77006489,-0.15050945,-0.7674067,-0.33722329,0.50803983
8494750000,-0.51326215,-0.3273451,-0.15062584,-0.77074927,-0.1524443,-0.7663905,-0.33611336,0.50938487
8497312500,-0.51605785,-0.32862788,-0.15141594,-0.76955909,-0.15147844,-0.77021295,-0.33606195,0.50944006
8499875000,-0.51458007,-0.32855546,-0.15148377,-0.76851922,-0.15191659,-0.77114004,-0.3370932,0.50967598
8502437500,-0.51446366,-0.32651636,-0.1512228,-0.76806289,-0.15190317,-0.76973486,-0.33519769,0.51020569
8505000000,-0.51388669,-0.32608813,-0.15162833,-0.76977295,-0.15420054,-0.76839113,-0.33455992,0.51043409
8507562500,-0.51446581,-0.32778072,-0.15222567,-0.77104938,-0.15364142,-0.76820689,-0.33298689,0.51082224
8510125000,-0.51438224,-0.32726467,-0.1513931,-0.76792675,-0.15620063,-0.76788211,-0.33228934,0.51134348
8512687500,-0.51432765,-0.32682601,-0.15181072,-0.76861393,-0.15654431,-0.76662743,-0.33179727,0.51186883
8515250000,-0.51396948,-0.32701266,-0.15353467,-0.76661307,-0.15344818,-0.76868701,-0.33141685,0.51165444
8517812500,-0.51483387,-0.32632917,-0.15336664,-0.76855993,-0.15461132,-0.76899821,-0.33182204,0.5120191
8520375000,-0.51511234,-0.32505676,-0.15405814,-0.76843232,-0.1562039,-0.76717615,-0.33153197,0.51178414
8522937500,-0.51343292,-0.32479653,-0.15405415,-0.76672339,-0.15653954,-0.7684682,-0.3303746,0.51240706
8525500000,-0.51497447,-0.32550469,-0.15572123,-0.76855916,-0.15804558,-0.76940787,-0.33070704,0.51408243
8528062500,-0.51670575,-0.32598901,-0.15710534,-0.7689141,-0.1556769,-0.77056032,-0.33043948,0.51241601
8530625000,-0.51386917,-0.32520115,-0.15656349,-0.76960427,-0.15750624,-0.76701063,-0.33189273,0.51412606
8533187500,-0.51666045,-0.32598922,-0.15827648,-0.76837552,-0.15698238,-0.7694211,-0.32849008,0.51340991
8535750000,-0.51426172,-0.32490912,-0.1565493,-0.76820666,-0.15901826,-0.76730222,-0.32731944,0.51252139
8538312500,-0.51438206,-0.32271844,-0.15748833,-0.76892853,-0.16013762,-0.76798636,-0.32936046,0.51449883
8540875000,-0.51397848,-0.32171035,-0.1588902,-0.76512277,-0.16196124,-0.76642746,-0.32629639,0.51410353
8543437500,-0.51524639,-0.3223055,-0.15826319,-0.76510108,-0.16223675,-0.76958424,-0.32514054,0.51373267
8546000000,-0.51609528,-0.32272974,-0.16187486,-0.76920706,-0.16234364,-0.76912642,-0.32606259,0.51433241
8548562500,-0.51244164,-0.32175365,-0.16086987,-0.76800901,-0.16124094,-0.76660681,-0.32711616,0.5162248
8551125000,-0.51465088,-0.32215875,-0.15997596,-0.76791316,-0.16215435,-0.76971847,-0.32602578,0.51488858
8553687500,-0.51642728,-0.32237941,-0.1615137,-0.76769161,-0.16308014,-0.76972622,-0.32415619,0.51523983
8556250000,-0.51394802,-0.32042012,-0.16227823,-0.76678717,-0.16547887,-0.76671094,-0.32292211,0.51473546
8558812500,-0.51640344,-0.32187328,-0.16258764,-0.76780742,-0.16328451,-0.76831204,-0.32219264,0.51473302
8561375000,-0.51604062,-0.31947133,-0.16342494,-0.76827741,-0.1654779,-0.7679702,-0.3225688,0.5155763
8563937500,-0.51518291,-0.32080603,-0.16406754,-0.76746917,-0.16581851,-0.76818395,-0.32285759,0.5169422
8566500000,-0.51707983,-0.31909305,-0.16597101,-0.76825362,-0.1669883,-0.76724297,-0.32096091,0.51567972
8569062500,-0.51572019,-0.31931213,-0.16525029,-0.76782507,-0.16818301,-0.76763976,-0.32086042,0.51623636
8571625000,-0.51469618,-0.31863263,-0.16547929,-0.76517951,-0.1675927,-0.76784122,-0.31919771,0.51571554
8574187500,-0.51534724,-0.32004961,-0.16539745,-0.76800829,-0.16779433,-0.7677328,-0.31830075,0.51854259
8576750000,-0.51454693,-0.31926289,-0.16697831,-0.76552504,-0.17009516,-0.76638591,-0.31775916,0.51566172
8579312500,-0.514911,-0.31915018,-0.16673708,-0.76607537,-0.17039651,-0.76729172,-0.31852078,0.51755416
8581875000,-0.51575875,-0.32063335,-0.16806722,-0.76623607,-0.1708131,-0.767744,-0.31539497,0.51788086
8584437500,-0.51602769,-0.31886789,-0.17059821,-0.76524329,-0.17150746,-0.76623005,-0.31090936,0.51626998
8587000000,-0.51568693,-0.318858,-0.16959673,-0.76485211,-0.17150036,-0.76592857,-0.31331831,0.51712495
8589562500,-0.51423526,-0.3191686,-0.16886394,-0.76545441,-0.17115694,-0.76702738,-0.31336451,0.51758564
8592125000,-0.51534688,-0.31959584,-0.17018743,-0.76596683,-0.1727718,-0.76679146,-0.3113369,0.51736206
8594687500,-0.51463586,-0.32041979,-0.16908397,-0.76734406,-0.17404726,-0.76797652,-0.31140217,0.51872057
8597250000,-0.51518202,-0.31979811,-0.17159902,-0.76646376,-0.17338252,-0.76640862,-0.31166127,0.52015448
8599812500,-0.51589853,-0.31963745,-0.17135702,-0.7669642,-0.17455216,-0.7655465,-0.31004187,0.52031302
8602375000,-0.51604253,-0.32045972,-0.17390418,-0.76686585,-0.17456941,-0.76670235,-0.30764413,0.52150422
8604937500,-0.51573759,-0.3209739,-0.17253365,-0.76508933,-0.17636679,-0.76702273,-0.30529308,0.52094144
8607500000,-0.51512629,-0.31987348,-0.17489307,-0.76566839,-0.17420685,-0.76666963,-0.3067351,0.52285641
8610062500,-0.51573235,-0.3193537,-0.17442717,-0.76635641,-0.17617959,-0.76776481,-0.30786762,0.5225175
8612625000,-0.51646852,-0.31932268,-0.17409846,-0.76717514,-0.17646992,-0.76681864,-0.30701849,0.52219635
8615187500,-0.5156166,-0.31898901,-0.17747875,-0.76709688,-0.17730479,-0.76599163,-0.30630663,0.52268797
8617750000,-0.51503754,-0.31998655,-0.17573228,-0.7669552,-0.17861497,-0.76503277,-0.30419073,0.5239554
8620312500,-0.51633257,-0.31999668,-0.17773955,-0.76545727,-0.17927048,-0.76481903,-0.30273789,0.52423662
8622875000,-0.5164625,-0.31982508,-0.17695098,-0.76558238,-0.18104826,-0.76475382,-0.30242458,0.52364981
8625437500,-0.51623553,-0.3162609,-0.17752582,-0.76573139,-0.18464601,-0.76567817,-0.30276766,0.52388418
8628000000,-0.51518106,-0.31992671,-0.1779806,-0.76437318,-0.17956823,-0.76418525,-0.30182838,0.52521998
8630562500,-0.51390857,-0.32002461,-0.17985547,-0.76637012,-0.18254076,-0.76503265,-0.29969266,0.52683783
8633125000,-0.51735485,-0.31880391,-0.17857932,-0.76752752,-0.18274178,-0.76741588,-0.3002691,0.52781695
8635687500,-0.51631963,-0.31977445,-0.17876716,-0.76509988,-0.1843106,-0.76634866,-0.30063882,0.52711159
8638250000,-0.51341683,-0.31741655,-0.18147817,-0.76567459,-0.183465,-0.76402372,-0.2981953,0.52813369
8640812500,-0.51538593,-0.31803018,-0.17805523,-0.76568699,-0.18637921,-0.76504833,-0.29831222,0.52970248
8643375000,-0.51348406,-0.31749243,-0.18419547,-0.76536483,-0.18499753,-0.76507962,-0.29745945,0.52814609
8645937500,-0.51468301,-0.31900451,-0.182717,-0.76656723,-0.18626721,-0.76483655,-0.29549021,0.52743864
8648500000,-0.51367861,-0.32053387,-0.18243785,-0.76767772,-0.18704936,-0.76516616,-0.29575804,0.52953583
