!CSV A.01.01
!Agilent Technologies,N5230C,MY49000690,A.09.42.22
!Agilent N5230C: A.09.42.22
!Date: Tuesday, April 18, 2017 16:33:55
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
8763812500,0.99304777,34.236118,5.5407094e-005,34.154278,3.0247296e-005,31.383091,0.27570111,-70.680618
8766375000,0.99269313,34.13166,7.9089667e-005,101.31401,5.5544657e-005,20.51169,0.27490842,-70.532852
8768937500,0.99436402,33.967602,0.00011378192,44.509472,9.3916686e-005,-15.808316,0.27514493,-70.328949
8771500000,0.99445105,33.914074,7.674571e-005,76.197418,4.1952164e-005,109.42614,0.27549168,-70.377365
8774062500,0.99338686,33.814861,7.5062577e-005,64.840691,0.00010715491,2.2594266,0.27587226,-70.368607
8776625000,0.99326515,33.657726,3.0594761e-005,104.91566,8.3985346e-005,-8.7182941,0.27583149,-70.326088
8779187500,0.99342966,33.611153,5.7768724e-005,141.52046,3.0924737e-005,9.0522947,0.27571842,-70.372314
8781750000,0.99262542,33.525288,2.7482001e-005,170.68832,4.6424473e-005,85.328682,0.27462196,-70.522514
8784312500,0.99371153,33.407467,7.9567042e-005,70.124023,4.4794731e-005,-18.900658,0.27366799,-70.307198
8786875000,0.99258393,33.140739,6.3463405e-005,156.85507,7.9761216e-005,78.717926,0.27449071,-70.038239
8789437500,0.99350381,33.086643,6.162902e-005,17.030447,7.5341879e-005,37.178543,0.27509037,-69.789658
8792000000,0.99577528,32.988762,3.6740003e-006,-137.14027,1.2557605e-005,178.43253,0.2757543,-70.220352
8794562500,0.99529541,32.900269,0.00013964025,-55.218029,4.9209717e-005,83.581848,0.27601501,-70.300453
8797125000,0.99453866,32.7505,7.8957833e-005,34.242657,0.00011425979,-51.144505,0.27667302,-70.166
8799687500,0.99425995,32.658798,7.8823381e-005,83.929695,3.8569007e-005,-29.436716,0.27729461,-70.260979
8802250000,0.99600559,32.546131,6.2191662e-005,161.77159,7.1837247e-005,15.926936,0.27719516,-70.30098
8804812500,0.99437368,32.264122,1.8262821e-005,100.93006,7.1644121e-005,20.211969,0.27897879,-70.577194
8807375000,0.99240756,32.394142,3.040254e-005,-143.77264,2.1077654e-005,-12.451294,0.27858084,-70.917564
8809937500,0.99330175,32.255939,3.4291908e-005,44.936226,2.920141e-005,85.317528,0.2794804,-71.006554
