  Q    F1        F2
461    0.3019   0.3019
462    0.3018   0.3018
463    0.3017   0.3017
464    0.3016   0.3016
465    0.3015   0.3015
466    0.3014   0.3014
467    0.3013   0.3013
468    0.3012   0.3012
469    0.3011   0.3011
470    0.3009   0.3009
471    0.3008   0.3008
472    0.3007   0.3007
473    0.3006   0.3006
474    0.3005   0.3005
475    0.3004   0.3004
476    0.3003   0.3003
477    0.3002   0.3002
478    0.3001   0.3001
479    0.3000   0.3000
480    0.2999   0.2999
481    0.2998   0.2998
482    0.2997   0.2997
483    0.2996   0.2996
484    0.2995   0.2995
485    0.2994   0.2994
486    0.2993   0.2993
487    0.2992   0.2992
488    0.2991   0.2991
489    0.2990   0.2990
490    0.2989   0.2989
491    0.2988   0.2988
492    0.2987   0.2987
493    0.2986   0.2986
494    0.2985   0.2985
495    0.2984   0.2984
496    0.2983   0.2983
497    0.2982   0.2982
498    0.2981   0.2981
499    0.2980   0.2980
500    0.2979   0.2979
