HORA H'F QD FOF1 QD H'F2 QD FOF2 QD HPF2 QD 
17.83 178 00  4.35 00 301 00 10.30 00 349 00
17.92 188 00  4.22 00 319 00 10.30 00 344 00
18.00 201 00  4.48 00 311 00 10.20 00 344 00
18.08 191 00  4.20 00 296 00 10.50 00 349 00
18.17 208 00  4.35 00 301 00 10.20 00 316 00
18.25 196 00  4.24 00 294 00 10.40 00 316 00
18.33 216 00  4.30 00 296 00 10.60 00 324 00
18.42 211 00  4.33 00 289 00 10.60 00 321 00
18.50 206 00  4.37 00 284 00 11.10 00 316 00
18.58 236 00  4.22 00 274 00 10.80 00 314 00
18.67 213 00  4.35 00 286 00 10.90 00 309 00
18.83 229 00  4.05 00 266 00 10.80 00 311 00
18.92 229 00  4.11 00 264 00 10.80 00 301 00
19.00 213 00  4.18 00 261 00 10.40 00 306 00
19.08 208 00  4.15 00 259 00 10.20 00 284 00
19.17 221 00  4.09 00 254 00 10.20 00 279 00
19.25 224 00  4.20 00 266 00  9.86 00 291 00
19.33 264 00  0.00  L   0  L 10.20 00 291 00
19.42 259 00  0.00  L   0  L 10.50 00 299 00
19.50 216 00  4.09 00 256 00  9.91 00 274 00
19.58 218 00  4.13 00 241 00 10.30 00 274 00
19.67 221 00  3.87 00 244 00  9.91 00 261 00
19.75 218 00  3.93 00 231 00 10.10 00 271 00
19.83 229 00  3.77 00 239 00 10.00 00 274 00
19.92 224 00  3.60 00 218 00  9.47 00 266 00
20.00 226 00  3.71 00 224 00  9.76 00 269 00
20.08 203 00  3.70 00 234 00  9.47 00 266 00
20.17 249 00  3.30 00 231 00  8.91 00 254 00
20.25 213 00  3.37 00 216 00  8.77 00 256 00
20.33 208 00  2.97 00 211 00  8.30 00 246 00
20.42 234 00  2.81 00 198 00  7.81 00 226 00
20.50 221 00  2.72 00 211 00  7.49 00 236 00
20.58 206 00  2.39 00 203 00  7.20 00 256 00
20.67 206 00  0.00  L   0  L  6.77 00 254 00
20.75 208 00  0.00  L   0  L  6.70 00 241 00
20.83 208 00  0.00  L   0  L  6.30 00 236 00
20.92 213 00  0.00  L   0  L  6.40 00 256 00
21.08 211 00  0.00 00   0 00  6.05 00 269 00
21.17 198 00  0.00 00   0 00  5.81 00 276 00
21.25 218 00  0.00 00   0 00  5.99 00 284 00
21.33 231 00  0.00 00   0 00  5.72 00 301 00
21.42 218 00  0.00 00   0 00  6.15 00 306 00
21.50 216 00  0.00 00   0 00  6.11 00 324 00
21.58 236 00  0.00 00   0 00  5.69 00 306 00
21.67 236 00  0.00 00   0 00  5.61 00 286 00
21.75 239 00  0.00 00   0 00  5.64 00 291 00
21.83 244 00  0.00 00   0 00  5.58 00 291 00
21.92 224 00  0.00 00   0 00  5.52 00 311 00
22.00 229 00  0.00 00   0 00  5.61 00 311 00
22.08 213 00  0.00 00   0 00  5.09 00 301 00
22.17 236 00  0.00 00   0 00  4.99 00 316 00
22.25 261 00  0.00 00   0 00  5.50 00 324 00
22.33 256 00  0.00 00   0 00  5.30 00 339 00
22.42 266 00  0.00 00   0 00  4.81 00 314 00
22.50 266 00  0.00 00   0 00  5.25 00 336 00
22.58 271 00  0.00 00   0 00  5.22 00 334 00
22.67 249 00  0.00 00   0 00  4.81 00 326 00
22.75 269 00  0.00 00   0 00  5.04 00 326 00
22.83 296 00  0.00 00   0 00  5.01 00 324 00
22.92 276 00  0.00 00   0 00  5.04 00 331 00
23.00 281 00  0.00 00   0 00  0.00  R   0  R
23.08 276 00  0.00 00   0 00  0.00  R   0  R
23.17 279 00  0.00 00   0 00  0.00  R   0  R
23.25 284 00  0.00 00   0 00  0.00  R   0  R
23.33 296 00  0.00 00   0 00  0.00  R   0  R
23.42 294 00  0.00 00   0 00  0.00  R   0  R
23.50 306 00  0.00 00   0 00  0.00  M   0  M
23.58 301 00  0.00 00   0 00  0.00  M   0  M
23.67 286 00  0.00 00   0 00  0.00  M   0  M
23.75 304 00  0.00 00   0 00  0.00  M   0  M
23.83 304 00  0.00 00   0 00  0.00  M   0  M
23.92 291 00  0.00 00   0 00  0.00  M   0  M
