 Data  Fluxo     foF2 
09_235   673     7.213
09_236   676     6.707
09_237   671     6.125
09_238   673     5.425
09_239   677     6.175
09_240   679     6.463
09_241   680     6.100
09_242   672     9.625
09_243   683     7.356
09_244   691     8.575
09_245   682     7.606
09_246   686     9.425
09_247   684     7.563
09_248   685     8.357
09_249   692     5.975
09_250   688     6.225
09_251   689     6.475
09_252   692     8.275
09_253   693     7.125
09_254   693     8.207
09_255   690     6.825
09_256   691     7.807
09_257   690     6.862
09_258   692     8.425
09_259   688     5.750
09_260   691     8.700
09_261   690     7.525
09_262   705     7.457
09_263   713     9.075
09_264   719     9.325
09_265   747     7.775
09_266   761     8.975
09_267   746     8.762
09_268   724     5.675
09_269   718     8.306
09_270   723     8.607
09_271   732     8.762
09_272   723    10.663
09_273   720     8.156
09_274   720     8.600
09_275   716     6.957
09_276   716     8.775
09_277   711     8.813
09_278   699    10.125
09_279   689     9.975
09_280   685     9.100
09_281   688     8.962
09_282   692     9.956
09_283   700     9.406
09_284   704    10.425
09_285   701    10.250
09_286   698     7.775
09_287   709     9.450
09_288   704     9.550
09_289   696      ----
09_290   707     9.300
09_291   701     9.675
09_292   709    11.000
09_293   710    10.125
09_294   713    11.425
09_295   716    11.250
09_296   729    10.350
09_297   756    10.625
09_298   755    11.200
09_299   813    10.575
09_300   815    10.806
09_301   799     9.857
09_302   767    12.300
09_303   752      ----
09_304   751    10.462
09_305   723    10.025
09_306   714    10.625
09_307   715    10.175
09_308   714    11.100
09_309   705     9.575
09_310   709     9.475
09_311   706     9.975
09_312   709    12.075
09_313   721    11.275
09_314   728    10.475
09_315   724    11.450
09_316   732    10.100
09_317   741    10.675
09_318   748     9.775
09_319   751    10.725
09_320   762    12.750
09_321   772    11.325
09_322   761    11.050
09_323   767    12.400
09_324   762    10.850
09_325   758      ----
09_326   763      ----
09_327   757      ----
09_328   747      ----
09_329   742    10.813
09_330   747    10.075
09_331   737    11.262
09_332   729    10.500
09_333   721    10.475
09_334   724    10.175
09_335   722    10.175
09_336   714     9.975
09_337   716    11.325
09_338   715     9.775
09_339   717     9.850
09_340   719     9.913
09_341   711     9.725
09_342   722    10.225
09_343   730    10.025
09_344   739    10.025
09_345   721     9.413
09_346   745     9.475
09_347   755     9.975
09_348   786     9.375
09_349   816     9.875
09_350   832     9.875
09_351   869     9.500
09_352   842    10.000
09_353   817    10.200
09_354   837     9.500
09_355   827    10.025
09_356   822    10.200
09_357   784    10.225
09_358   771    10.750
09_359   760    10.075
09_360   759    10.025
09_361   768    10.503
09_362   758     9.825
09_363   751     9.475
09_364   769     8.775
09_365   799     9.275
