Freq(Hz)	RL(%)
8425750000.0	99.2881921924
8428375000.0	98.6705602714
8431000000.0	97.8220128187
8433625000.0	99.3205035423
8436250000.0	99.6580249312
8438875000.0	98.2232063807
8441500000.0	98.478383895
8444125000.0	97.8750555414
8446750000.0	97.8525637783
8449375000.0	98.4815904612
8452000000.0	99.1440172003
8454625000.0	98.282711154
8457250000.0	99.1541040642
8459875000.0	98.8628926854
8462500000.0	99.4332337354
8465125000.0	98.4145071084
8467750000.0	98.6448686796
8470375000.0	97.2993538399
8473000000.0	97.8126821588
8475625000.0	98.9784508104
8478250000.0	98.5142159211
8480875000.0	97.3920680744
8483500000.0	97.8851446225
8486125000.0	96.6042459126
8488750000.0	97.2572406696
8491375000.0	97.2553779723
8494000000.0	97.929327385
8496625000.0	97.491421303
8499250000.0	96.6353565561
8501875000.0	96.3176019041
8504500000.0	97.1586866279
8507125000.0	96.1239320175
8509750000.0	97.1891690465
8512375000.0	96.9315103594
8515000000.0	97.5332770272
8517625000.0	96.3692918029
8520250000.0	95.9086549849
8522875000.0	98.8335340585
8525500000.0	96.423716942
8528125000.0	97.6309045763
8530750000.0	97.3759524351
8533375000.0	97.1939535693
8536000000.0	96.8675144179
8538625000.0	97.7478249453
8541250000.0	96.7746327684
8543875000.0	97.0997056696
8546500000.0	96.3616600086
8549125000.0	97.6949005323
8551750000.0	97.8070074464
8554375000.0	97.1719596681
8557000000.0	97.3990220606
8559625000.0	96.6311219973
8562250000.0	98.0310552056
8564875000.0	97.2588213248
8567500000.0	98.1536117425
8570125000.0	97.5374478159
8572750000.0	96.9192719737
8575375000.0	96.5682871573
8578000000.0	98.9562237982
8580625000.0	97.9224106526
8583250000.0	97.7903328371
8585875000.0	97.1385525571
8588500000.0	96.069615079
8591125000.0	97.1486712974
8593750000.0	96.5933703058
8596375000.0	98.7309392065
8599000000.0	96.3728321401
8601625000.0	97.4498163498
8604250000.0	96.4094279071
8606875000.0	96.6131749888
8609500000.0	96.9707096062
8612125000.0	96.970886398
8614750000.0	95.6337376877
8617375000.0	98.1081696145
8620000000.0	96.541722135
8622625000.0	97.2878206497
8625250000.0	96.810647173
8627875000.0	96.9260203019
8630500000.0	97.4113557675
8633125000.0	96.4185442725
8635750000.0	97.0205716868
8638375000.0	97.7838987697
8641000000.0	97.2743007515
8643625000.0	95.600943542
8646250000.0	96.4920571989
8648875000.0	96.1632448153
8651500000.0	96.7812924462
8654125000.0	97.5644952572
8656750000.0	97.1404943882
8659375000.0	97.6052491844
8662000000.0	97.4017732832
8664625000.0	97.2558095758
8667250000.0	96.9592842275
8669875000.0	96.6914685668
8672500000.0	97.8188084025
8675125000.0	97.6388596661
8677750000.0	97.5711471527
8680375000.0	97.2123318097
8683000000.0	97.8625773303
8685625000.0	97.4539412123
