Freq(Hz)	RL(%)
8491375000.0	56.3245627835
8494000000.0	56.4507105398
8496625000.0	56.8059518305
8499250000.0	56.2613329723
8501875000.0	56.6434556848
8504500000.0	55.0575516513
8507125000.0	53.4905193387
8509750000.0	55.5751414644
8512375000.0	55.2111847618
8515000000.0	54.2691243186
8517625000.0	53.4497604334
8520250000.0	53.2772341722
8522875000.0	55.43227539
8525500000.0	52.162497532
8528125000.0	55.218062343
8530750000.0	51.4529971193
8533375000.0	54.435816439
8536000000.0	52.4829316968
8538625000.0	55.1415943602
8541250000.0	55.089954258
8543875000.0	54.5685252014
8546500000.0	50.9185246104
8549125000.0	52.7585926591
8551750000.0	50.9608907926
8554375000.0	54.508669676
8557000000.0	51.0774995788
8559625000.0	51.5307490285
8562250000.0	56.2254446429
8564875000.0	52.377228842
8567500000.0	53.1001875946
8570125000.0	52.5875175905
8572750000.0	50.8474944708
8575375000.0	50.399185819
8578000000.0	49.5949525041
8580625000.0	51.9955907919
8583250000.0	49.9005743761
8585875000.0	50.9870979171
8588500000.0	51.1386607503
8591125000.0	50.2627577676
8593750000.0	49.98062266
8596375000.0	50.0280687443
8599000000.0	48.5276523367
8601625000.0	48.2516752199
8604250000.0	46.8262967116
8606875000.0	50.1913403686
8609500000.0	47.9005540575
8612125000.0	48.2553003918
8614750000.0	47.7268268005
8617375000.0	48.6830939253
8620000000.0	47.7040938552
8622625000.0	46.7430142438
8625250000.0	47.4162410999
8627875000.0	47.9152326028
8630500000.0	47.5889002657
8633125000.0	47.326262753
8635750000.0	48.5147443238
8638375000.0	47.6674320726
8641000000.0	46.9051870205
8643625000.0	45.4232839621
8646250000.0	48.1473736673
8648875000.0	45.4697785829
8651500000.0	46.219054605
8654125000.0	47.1647306326
8656750000.0	46.0911948416
8659375000.0	46.8237809068
8662000000.0	47.6530402016
8664625000.0	46.6238526615
8667250000.0	46.9895042788
8669875000.0	43.923818197
8672500000.0	46.4645930677
8675125000.0	45.4575131111
8677750000.0	45.4968237643
8680375000.0	45.9053283597
8683000000.0	45.7646554587
8685625000.0	45.1204519483
8688250000.0	45.0920240779
8690875000.0	44.3901945168
8693500000.0	44.5401061588
8696125000.0	44.8420744105
8698750000.0	45.5523696443
8701375000.0	43.4558201254
8704000000.0	46.5551851398
8706625000.0	43.1221630092
8709250000.0	44.4083047305
8711875000.0	45.6167498173
8714500000.0	45.2972810561
8717125000.0	43.647073579
8719750000.0	44.249062285
8722375000.0	44.0619406958
8725000000.0	41.7843682743
8727625000.0	44.5508857361
8730250000.0	43.8134270437
8732875000.0	42.2598059876
8735500000.0	41.3726848898
8738125000.0	40.341043512
8740750000.0	43.1892530006
8743375000.0	40.9055226101
8746000000.0	41.7848043793
8748625000.0	41.1297488145
8751250000.0	44.5065890141
8753875000.0	42.9858329179
8756500000.0	43.7861108233
8759125000.0	41.8518002925
8761750000.0	41.7416048589
8764375000.0	42.8892144733
8767000000.0	42.7597913807
8769625000.0	41.0582233043
8772250000.0	43.1675060386
8774875000.0	44.0405564112
8777500000.0	43.282953823
8780125000.0	42.9463026158
8782750000.0	42.8041732188
8785375000.0	44.0752337765
8788000000.0	42.2299108172
8790625000.0	43.169562056
8793250000.0	43.4714170568
8795875000.0	41.8439606977
8798500000.0	43.6968411945
8801125000.0	42.5083222397
8803750000.0	40.9861814756
8806375000.0	44.3419046441
8809000000.0	43.3835228972
8811625000.0	43.076649675
8814250000.0	43.4134290297
8816875000.0	43.0652021154
8819500000.0	42.6791456318
8822125000.0	43.1117218079
8824750000.0	41.3370132146
8827375000.0	41.7600263927
8830000000.0	43.2706951227
8832625000.0	43.4397638348
8835250000.0	41.4782915924
8837875000.0	44.455341193
8840500000.0	40.8502087254
8843125000.0	42.7797674022
8845750000.0	42.3631238665
8848375000.0	41.650355167
8851000000.0	42.5090490967
8853625000.0	42.9989687542
8856250000.0	42.1462966852
8858875000.0	43.542985311
8861500000.0	42.9365659596
8864125000.0	41.4314544307
8866750000.0	40.9177184366
8869375000.0	42.9435722324
8872000000.0	39.4812018118
8874625000.0	43.1820291007
8877250000.0	41.3186974869
8879875000.0	43.4590331269
8882500000.0	43.2459405598
8885125000.0	43.3034605992
8887750000.0	40.5677700239
8890375000.0	42.610594625
8893000000.0	39.9835548886
8895625000.0	41.9696858305
8898250000.0	41.2146837591
8900875000.0	41.2956264097
8903500000.0	42.2853284754
8906125000.0	42.8152338122
8908750000.0	42.8770437693
8911375000.0	41.5929354678
8914000000.0	41.5474496819
8916625000.0	42.7228025538
8919250000.0	43.3949832629
8921875000.0	42.7942295706
8924500000.0	42.5641422959
8927125000.0	43.0347332081
8929750000.0	44.8927768878
8932375000.0	43.0866906343
8935000000.0	42.4727538605
8937625000.0	41.8872417765
8940250000.0	43.242332646
8942875000.0	41.7684934943
8945500000.0	43.1137388489
8948125000.0	42.2512394627
8950750000.0	44.0363578294
8953375000.0	43.1084672718
8956000000.0	42.8615090391
8958625000.0	41.1897682713
8961250000.0	41.9573840565
8963875000.0	45.1302423639
8966500000.0	42.6720361842
8969125000.0	42.8440387024
8971750000.0	42.254766266
8974375000.0	44.3409615127
8977000000.0	45.3276840447
8979625000.0	44.0218195979
8982250000.0	43.5380723633
8984875000.0	41.4903280762
8987500000.0	41.8720256644
8990125000.0	42.1766181968
8992750000.0	41.1231798926
8995375000.0	43.547674306
8998000000.0	40.7366624927
9000625000.0	41.1838883477
9003250000.0	40.9314972311
9005875000.0	41.8975245291
9008500000.0	42.4732771411
9011125000.0	41.9734769259
9013750000.0	39.9597388826
9016375000.0	40.9338892448
9019000000.0	41.4691804286
9021625000.0	41.344673525
9024250000.0	43.0459049189
9026875000.0	42.5418711353
9029500000.0	41.8679455875
9032125000.0	39.1686948348
9034750000.0	42.820134524
9037375000.0	42.7638923531
9040000000.0	40.6734547596
9042625000.0	44.3319919028
9045250000.0	40.4350185692
9047875000.0	41.4390681754
9050500000.0	41.7407210463
9053125000.0	42.7877170149
9055750000.0	42.5452053995
9058375000.0	41.0827039501
9061000000.0	42.0357013962
9063625000.0	41.9844949406
9066250000.0	43.6348634304
9068875000.0	40.8956751189
9071500000.0	43.1858225697
9074125000.0	43.7792465946
9076750000.0	42.2364531931
9079375000.0	41.6962995589
9082000000.0	42.1773008484
9084625000.0	42.8898411488
9087250000.0	42.8236464386
9089875000.0	39.6639521546
9092500000.0	43.957041742
9095125000.0	41.7371745135
9097750000.0	40.5039498495
9100375000.0	43.411487869
9103000000.0	39.2425263609
9105625000.0	41.9630405579
9108250000.0	42.5779574131
9110875000.0	42.6088632051
9113500000.0	41.1990555067
9116125000.0	43.6599271971
9118750000.0	42.1468799039
9121375000.0	44.8779783472
9124000000.0	40.2097607433
9126625000.0	43.0623051348
9129250000.0	42.2390514614
9131875000.0	43.8975711551
9134500000.0	39.4737718071
9137125000.0	42.1090766129
9139750000.0	39.2144881922
9142375000.0	41.9733261674
9145000000.0	40.3205098664
9147625000.0	39.5242917394
9150250000.0	40.8280744816
9152875000.0	40.3766490909
9155500000.0	40.1565338807
9158125000.0	39.8926555398
9160750000.0	41.720203683
9163375000.0	40.2005527685
9166000000.0	42.3825691255
9168625000.0	41.3390758623
9171250000.0	41.8523692525
9173875000.0	42.983228492
9176500000.0	41.8252887517
9179125000.0	43.431987085
9181750000.0	40.937575363
9184375000.0	42.862604169
9187000000.0	41.1683190697
9189625000.0	40.4387909345
9192250000.0	40.9166558696
9194875000.0	38.5641942501
9197500000.0	40.4162792167
9200125000.0	40.7013327612
9202750000.0	42.3778082614
9205375000.0	41.0017570738
9208000000.0	40.3880449309
9210625000.0	40.0434868875
9213250000.0	38.8029850275
9215875000.0	40.1248198349
9218500000.0	42.2529517424
9221125000.0	37.9221479416
9223750000.0	40.3836346637
9226375000.0	38.8172189714
9229000000.0	42.1680843885
9231625000.0	39.1609510703
9234250000.0	38.7368876836
9236875000.0	39.6289930085
9239500000.0	41.4418484156
9242125000.0	38.7321200929
9244750000.0	39.7821605986
9247375000.0	39.8923845371
9250000000.0	39.5563760985
9252625000.0	41.4918054822
9255250000.0	39.6592698051
9257875000.0	40.070936539
9260500000.0	42.3210203779
9263125000.0	39.8641623816
9265750000.0	38.4817547805
9268375000.0	39.9113134018
9271000000.0	40.6568033398
9273625000.0	42.5601309582
9276250000.0	38.3448228184
9278875000.0	39.061051838
9281500000.0	40.2288854428
9284125000.0	42.6397913769
9286750000.0	38.1211798756
9289375000.0	41.2128124782
9292000000.0	35.7137928741
9294625000.0	37.4274502937
9297250000.0	37.568085989
9299875000.0	39.7568877606
9302500000.0	37.2234412089
9305125000.0	37.5520158074
9307750000.0	39.3617162922
9310375000.0	38.1893105867
9313000000.0	37.5766406243
9315625000.0	38.5218814262
9318250000.0	37.9509044921
9320875000.0	40.3588634906
9323500000.0	39.2673318523
9326125000.0	36.9046073321
9328750000.0	37.8551920428
9331375000.0	37.0197884841
9334000000.0	36.7555556596
9336625000.0	38.4329553559
9339250000.0	36.5066423548
9341875000.0	37.921253468
9344500000.0	36.1685543822
9347125000.0	38.5075916372
9349750000.0	38.9421465058
9352375000.0	36.6815998444
9355000000.0	37.6431340778
9357625000.0	39.1161948176
9360250000.0	35.8918452681
9362875000.0	37.4726058656
9365500000.0	37.4793747739
9368125000.0	37.9492199095
9370750000.0	36.1713499487
9373375000.0	37.22586299
9376000000.0	37.2691965891
9378625000.0	39.1143513672
9381250000.0	38.1387840968
9383875000.0	37.9600648605
9386500000.0	38.0047912975
9389125000.0	38.9904838586
9391750000.0	35.3969194525
