

-----------------------------------------------------------------------------
       Gamma-Scout    -- Calculation of Raw-Data --
-----------------------------------------------------------------------------
       "File : GAMMA_2008_01_14_23-04-08.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second)
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.
Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------------------------------------------------------------
                                PROCESSED DATA :
-----------------------------------------------------------------------------
Nr.	Range   	from	            to			Counts		Rate		Dose
-----------------------------------------------------------------------------
 91	 1 min	18:11 14.01.08	18:12 14.01.08	0000000031	0.517 	0.337  
 92	 1 min	18:12 14.01.08	18:13 14.01.08	0000000033	0.550 	0.358  
 93	 1 min	18:13 14.01.08	18:14 14.01.08	0000000029	0.483 	0.315  
 94	 1 min	18:14 14.01.08	18:15 14.01.08	0000000031	0.517 	0.337  
 95	 1 min	18:15 14.01.08	18:16 14.01.08	0000000033	0.550 	0.358  
 96	 1 min	18:16 14.01.08	18:17 14.01.08	0000000027	0.450 	0.293  
 97	 1 min	18:17 14.01.08	18:18 14.01.08	0000000026	0.433 	0.282  
 98	 1 min	18:18 14.01.08	18:19 14.01.08	0000000028	0.467 	0.304  
 99	 1 min	18:19 14.01.08	18:20 14.01.08	0000000028	0.467 	0.304  
 100	 1 min	18:20 14.01.08	18:21 14.01.08	0000000026	0.433 	0.282  
 101	 1 min	18:21 14.01.08	18:22 14.01.08	0000000037	0.617 	0.402  
 102	 1 min	18:22 14.01.08	18:23 14.01.08	0000000043	0.717 	0.467  
 103	 1 min	18:23 14.01.08	18:24 14.01.08	0000000047	0.783 	0.510  
 104	 1 min	18:24 14.01.08	18:25 14.01.08	0000000034	0.567 	0.369  
 105	 1 min	18:25 14.01.08	18:26 14.01.08	0000000019	0.317 	0.206  
 106	 1 min	18:26 14.01.08	18:27 14.01.08	0000000039	0.650 	0.423  
 107	 1 min	18:27 14.01.08	18:28 14.01.08	0000000037	0.617 	0.402  
 108	 1 min	18:28 14.01.08	18:29 14.01.08	0000000036	0.600 	0.391  
 109	 1 min	18:29 14.01.08	18:30 14.01.08	0000000033	0.550 	0.358  
 110	 1 min	18:30 14.01.08	18:31 14.01.08	0000000028	0.467 	0.304  
 111	 1 min	18:31 14.01.08	18:32 14.01.08	0000000026	0.433 	0.282  
 112	 1 min	18:32 14.01.08	18:33 14.01.08	0000000040	0.667 	0.434  
 113	 1 min	18:33 14.01.08	18:34 14.01.08	0000000038	0.633 	0.413  
 114	 1 min	18:34 14.01.08	18:35 14.01.08	0000000026	0.433 	0.282  
 115	 1 min	18:35 14.01.08	18:36 14.01.08	0000000026	0.433 	0.282  
 116	 1 min	18:36 14.01.08	18:37 14.01.08	0000000028	0.467 	0.304  
 117	 1 min	18:37 14.01.08	18:38 14.01.08	0000000034	0.567 	0.369  
 118	 1 min	18:38 14.01.08	18:39 14.01.08	0000000034	0.567 	0.369  
 119	 1 min	18:39 14.01.08	18:40 14.01.08	0000000034	0.567 	0.369  
 120	 1 min	18:40 14.01.08	18:41 14.01.08	0000000032	0.533 	0.347  
 121	 1 min	18:41 14.01.08	18:42 14.01.08	0000000022	0.367 	0.239  
 122	 1 min	18:42 14.01.08	18:43 14.01.08	0000000028	0.467 	0.304  
 123	 1 min	18:43 14.01.08	18:44 14.01.08	0000000022	0.367 	0.239  
 124	 1 min	18:44 14.01.08	18:45 14.01.08	0000000024	0.400 	0.261  
 125	 1 min	18:45 14.01.08	18:46 14.01.08	0000000033	0.550 	0.358  
 126	 1 min	18:46 14.01.08	18:47 14.01.08	0000000040	0.667 	0.434  
 127	 1 min	18:47 14.01.08	18:48 14.01.08	0000000032	0.533 	0.347  
 128	 1 min	18:48 14.01.08	18:49 14.01.08	0000000023	0.383 	0.250  
 129	 1 min	18:49 14.01.08	18:50 14.01.08	0000000035	0.583 	0.380  
 130	 1 min	18:50 14.01.08	18:51 14.01.08	0000000024	0.400 	0.261  
 131	 1 min	18:51 14.01.08	18:52 14.01.08	0000000033	0.550 	0.358  
 132	 1 min	18:52 14.01.08	18:53 14.01.08	0000000027	0.450 	0.293  
 133	 1 min	18:53 14.01.08	18:54 14.01.08	0000000034	0.567 	0.369  
 134	 1 min	18:54 14.01.08	18:55 14.01.08	0000000042	0.700 	0.456  
