

-----------------------------------------------------------------------------
       Gamma-Scout    -- Calculation of Raw-Data --
-----------------------------------------------------------------------------
       "File : GAMMA_2009_12_01_21-41-17.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second)
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.
Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------------------------------------------------------------
                                PROCESSED DATA :
-----------------------------------------------------------------------------
Nr.	Range   	from	            to			Counts		Rate		Dose
-----------------------------------------------------------------------------
x1	Week 	22:57 18.11.09	22:58 18.11.09	0000000013	0.000 	0.000 x
 259	10 min	17:30 20.11.09	17:40 20.11.09	0000000345	0.575 	0.375  
 260	10 min	17:40 20.11.09	17:50 20.11.09	0000000297	0.495 	0.322  
 261	10 min	17:50 20.11.09	18:00 20.11.09	0000000307	0.512 	0.333  
 262	10 min	18:00 20.11.09	18:10 20.11.09	0000000326	0.543 	0.354  
 263	10 min	18:10 20.11.09	18:20 20.11.09	0000000306	0.510 	0.332  
 264	10 min	18:20 20.11.09	18:30 20.11.09	0000000316	0.527 	0.343  
 265	10 min	18:30 20.11.09	18:40 20.11.09	0000000311	0.518 	0.338  
 266	10 min	18:40 20.11.09	18:50 20.11.09	0000000333	0.555 	0.362  
 267	10 min	18:50 20.11.09	19:00 20.11.09	0000000305	0.508 	0.331  
 268	10 min	19:00 20.11.09	19:10 20.11.09	0000000313	0.522 	0.340  
 269	10 min	19:10 20.11.09	19:20 20.11.09	0000000295	0.492 	0.320  
 270	10 min	19:20 20.11.09	19:30 20.11.09	0000000303	0.505 	0.329  
 271	10 min	19:30 20.11.09	19:40 20.11.09	0000000333	0.555 	0.362  
 272	10 min	19:40 20.11.09	19:50 20.11.09	0000000294	0.490 	0.319  
 273	10 min	19:50 20.11.09	20:00 20.11.09	0000000309	0.515 	0.336  
 274	10 min	20:00 20.11.09	20:10 20.11.09	0000000272	0.453 	0.295  
 275	10 min	20:10 20.11.09	20:20 20.11.09	0000000317	0.528 	0.344  
 276	10 min	20:20 20.11.09	20:30 20.11.09	0000000296	0.493 	0.321  
 277	10 min	20:30 20.11.09	20:40 20.11.09	0000000322	0.537 	0.350  
 278	10 min	20:40 20.11.09	20:50 20.11.09	0000000301	0.502 	0.327  
 279	10 min	20:50 20.11.09	21:00 20.11.09	0000000308	0.513 	0.334  
 280	10 min	21:00 20.11.09	21:10 20.11.09	0000000303	0.505 	0.329  
 281	10 min	21:10 20.11.09	21:20 20.11.09	0000000336	0.560 	0.365  
 282	10 min	21:20 20.11.09	21:30 20.11.09	0000000330	0.550 	0.358  
 283	10 min	21:30 20.11.09	21:40 20.11.09	0000000329	0.548 	0.357  
 284	10 min	21:40 20.11.09	21:50 20.11.09	0000000307	0.512 	0.333  
 285	10 min	21:50 20.11.09	22:00 20.11.09	0000000306	0.510 	0.332  
 286	10 min	22:00 20.11.09	22:10 20.11.09	0000000296	0.493 	0.321  
 287	10 min	22:10 20.11.09	22:20 20.11.09	0000000332	0.553 	0.360  
 288	10 min	22:20 20.11.09	22:30 20.11.09	0000000314	0.523 	0.341  
 289	10 min	22:30 20.11.09	22:40 20.11.09	0000000294	0.490 	0.319  
 290	10 min	22:40 20.11.09	22:50 20.11.09	0000000304	0.507 	0.330  
 291	10 min	22:50 20.11.09	23:00 20.11.09	0000000305	0.508 	0.331  
 292	10 min	23:00 20.11.09	23:10 20.11.09	0000000303	0.505 	0.329  
 293	10 min	23:10 20.11.09	23:20 20.11.09	0000000305	0.508 	0.331  
 294	10 min	23:20 20.11.09	23:30 20.11.09	0000000343	0.572 	0.372  
 295	10 min	23:30 20.11.09	23:40 20.11.09	0000000335	0.558 	0.364  
 296	10 min	23:40 20.11.09	23:50 20.11.09	0000000303	0.505 	0.329  
 297	10 min	23:50 20.11.09	00:00 21.11.09	0000000322	0.537 	0.350  
 298	10 min	00:00 21.11.09	00:10 21.11.09	0000000286	0.477 	0.311  
 299	10 min	00:10 21.11.09	00:20 21.11.09	0000000313	0.522 	0.340  
 300	10 min	00:20 21.11.09	00:30 21.11.09	0000000312	0.520 	0.339  
 301	10 min	00:30 21.11.09	00:40 21.11.09	0000000301	0.502 	0.327  
 302	10 min	00:40 21.11.09	00:50 21.11.09	0000000349	0.582 	0.379  
 303	10 min	00:50 21.11.09	01:00 21.11.09	0000000313	0.522 	0.340  
 304	10 min	01:00 21.11.09	01:10 21.11.09	0000000311	0.518 	0.338  
