

-----------------------------------------------------------------------------
       Gamma-Scout    -- Calculation of Raw-Data --
-----------------------------------------------------------------------------
       "File : GAMMA_2009_12_09_23-55-55.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second)
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.
Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------------------------------------------------------------
                                PROCESSED DATA :
-----------------------------------------------------------------------------
Nr.	Range   	from	            to			Counts		Rate		Dose
-----------------------------------------------------------------------------
 99	10 min	05:07 05.12.09	05:17 05.12.09	0000000327	0.545 	0.355  
 100	10 min	05:17 05.12.09	05:27 05.12.09	0000000297	0.495 	0.322  
 101	10 min	05:27 05.12.09	05:37 05.12.09	0000000301	0.502 	0.327  
 102	10 min	05:37 05.12.09	05:47 05.12.09	0000000316	0.527 	0.343  
 103	10 min	05:47 05.12.09	05:57 05.12.09	0000000304	0.507 	0.330  
 104	10 min	05:57 05.12.09	06:07 05.12.09	0000000279	0.465 	0.303  
 105	10 min	06:07 05.12.09	06:17 05.12.09	0000000313	0.522 	0.340  
 106	10 min	06:17 05.12.09	06:27 05.12.09	0000000325	0.542 	0.353  
 107	10 min	06:27 05.12.09	06:37 05.12.09	0000000318	0.530 	0.345  
 108	10 min	06:37 05.12.09	06:47 05.12.09	0000000324	0.540 	0.352  
 109	10 min	06:47 05.12.09	06:57 05.12.09	0000000310	0.517 	0.337  
 110	10 min	06:57 05.12.09	07:07 05.12.09	0000000284	0.473 	0.308  
 111	10 min	07:07 05.12.09	07:17 05.12.09	0000000296	0.493 	0.321  
 112	10 min	07:17 05.12.09	07:27 05.12.09	0000000303	0.505 	0.329  
 113	10 min	07:27 05.12.09	07:37 05.12.09	0000000293	0.488 	0.318  
 114	10 min	07:37 05.12.09	07:47 05.12.09	0000000339	0.565 	0.368  
 115	10 min	07:47 05.12.09	07:57 05.12.09	0000000315	0.525 	0.342  
 116	10 min	07:57 05.12.09	08:07 05.12.09	0000000335	0.558 	0.364  
 117	10 min	08:07 05.12.09	08:17 05.12.09	0000000296	0.493 	0.321  
 118	10 min	08:17 05.12.09	08:27 05.12.09	0000000308	0.513 	0.334  
 119	10 min	08:27 05.12.09	08:37 05.12.09	0000000299	0.498 	0.325  
 120	10 min	08:37 05.12.09	08:47 05.12.09	0000000296	0.493 	0.321  
 121	10 min	08:47 05.12.09	08:57 05.12.09	0000000302	0.503 	0.328  
 122	10 min	08:57 05.12.09	09:07 05.12.09	0000000310	0.517 	0.337  
 123	10 min	09:07 05.12.09	09:17 05.12.09	0000000292	0.487 	0.317  
 124	10 min	09:17 05.12.09	09:27 05.12.09	0000000332	0.553 	0.360  
 125	10 min	09:27 05.12.09	09:37 05.12.09	0000000323	0.538 	0.351  
 126	10 min	09:37 05.12.09	09:47 05.12.09	0000000311	0.518 	0.338  
 127	10 min	09:47 05.12.09	09:57 05.12.09	0000000292	0.487 	0.317  
 128	10 min	09:57 05.12.09	10:07 05.12.09	0000000300	0.500 	0.326  
 129	10 min	10:07 05.12.09	10:17 05.12.09	0000000328	0.547 	0.356  
 130	10 min	10:17 05.12.09	10:27 05.12.09	0000000298	0.497 	0.324  
 131	10 min	10:27 05.12.09	10:37 05.12.09	0000000295	0.492 	0.320  
 132	10 min	10:37 05.12.09	10:47 05.12.09	0000000310	0.517 	0.337  
 133	10 min	10:47 05.12.09	10:57 05.12.09	0000000293	0.488 	0.318  
 134	10 min	10:57 05.12.09	11:07 05.12.09	0000000293	0.488 	0.318  
 135	10 min	11:07 05.12.09	11:17 05.12.09	0000000308	0.513 	0.334  
 136	10 min	11:17 05.12.09	11:27 05.12.09	0000000310	0.517 	0.337  
 137	10 min	11:27 05.12.09	11:37 05.12.09	0000000341	0.568 	0.370  
 138	10 min	11:37 05.12.09	11:47 05.12.09	0000000291	0.485 	0.316  
 139	10 min	11:47 05.12.09	11:57 05.12.09	0000000318	0.530 	0.345  
 140	10 min	11:57 05.12.09	12:07 05.12.09	0000000306	0.510 	0.332  
 141	10 min	12:07 05.12.09	12:17 05.12.09	0000000296	0.493 	0.321  
 142	10 min	12:17 05.12.09	12:27 05.12.09	0000000301	0.502 	0.327  
 143	10 min	12:27 05.12.09	12:37 05.12.09	0000000289	0.482 	0.314  
 144	10 min	12:37 05.12.09	12:47 05.12.09	0000000336	0.560 	0.365  
 145	10 min	12:47 05.12.09	12:57 05.12.09	0000000300	0.500 	0.326  
 146	10 min	12:57 05.12.09	13:07 05.12.09	0000000295	0.492 	0.320  
 147	10 min	13:07 05.12.09	13:17 05.12.09	0000000302	0.503 	0.328  
 148	10 min	13:17 05.12.09	13:27 05.12.09	0000000326	0.543 	0.354  
 149	10 min	13:27 05.12.09	13:37 05.12.09	0000000327	0.545 	0.355  
 150	10 min	13:37 05.12.09	13:47 05.12.09	0000000305	0.508 	0.331  
 151	10 min	13:47 05.12.09	13:57 05.12.09	0000000307	0.512 	0.333  
 152	10 min	13:57 05.12.09	14:07 05.12.09	0000000294	0.490 	0.319  
 153	10 min	14:07 05.12.09	14:17 05.12.09	0000000291	0.485 	0.316  
 154	10 min	14:17 05.12.09	14:27 05.12.09	0000000286	0.477 	0.311  
 155	10 min	14:27 05.12.09	14:37 05.12.09	0000000322	0.537 	0.350  
 156	10 min	14:37 05.12.09	14:47 05.12.09	0000000321	0.535 	0.349  
 157	10 min	14:47 05.12.09	14:57 05.12.09	0000000337	0.562 	0.366  
