

-----------------------------------------------------------------------------
            Gamma-Scout    -- Calculation of Raw-Data --
                   with Gamma-Scout ToolBox-Application
            "Version 3.30  Rev. K5     November  2008"
                 This version with dynamic calibration factor                
-----------------------------------------------------------------------------
            "File : GAMMA_2010_07_20_22-11-37.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second).
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.

Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------
x1	Set/Tm.	20:27 15.07.10	20:27 15.07.10	0000000008	0.133 	0.001 x 	138.300
 210	10 min	07:07 17.07.10	07:17 17.07.10	0000000288	0.480 	0.208   	138.300
 211	10 min	07:17 17.07.10	07:27 17.07.10	0000000324	0.540 	0.234   	138.300
 212	10 min	07:27 17.07.10	07:37 17.07.10	0000000266	0.443 	0.192   	138.300
 213	10 min	07:37 17.07.10	07:47 17.07.10	0000000309	0.515 	0.223   	138.300
 214	10 min	07:47 17.07.10	07:57 17.07.10	0000000322	0.537 	0.233   	138.300
 215	10 min	07:57 17.07.10	08:07 17.07.10	0000000316	0.527 	0.228   	138.300
 216	10 min	08:07 17.07.10	08:17 17.07.10	0000000337	0.562 	0.244   	138.300
 217	10 min	08:17 17.07.10	08:27 17.07.10	0000000287	0.478 	0.208   	138.300
 218	10 min	08:27 17.07.10	08:37 17.07.10	0000000315	0.525 	0.228   	138.300
 219	10 min	08:37 17.07.10	08:47 17.07.10	0000000305	0.508 	0.221   	138.300
 220	10 min	08:47 17.07.10	08:57 17.07.10	0000000325	0.542 	0.235   	138.300
 221	10 min	08:57 17.07.10	09:07 17.07.10	0000000320	0.533 	0.231   	138.300
 222	10 min	09:07 17.07.10	09:17 17.07.10	0000000286	0.477 	0.207   	138.300
 223	10 min	09:17 17.07.10	09:27 17.07.10	0000000270	0.450 	0.195   	138.300
 224	10 min	09:27 17.07.10	09:37 17.07.10	0000000289	0.482 	0.209   	138.300
 225	10 min	09:37 17.07.10	09:47 17.07.10	0000000290	0.483 	0.210   	138.300
 226	10 min	09:47 17.07.10	09:57 17.07.10	0000000312	0.520 	0.226   	138.300
 227	10 min	09:57 17.07.10	10:07 17.07.10	0000000307	0.512 	0.222   	138.300
 228	10 min	10:07 17.07.10	10:17 17.07.10	0000000285	0.475 	0.206   	138.300
 229	10 min	10:17 17.07.10	10:27 17.07.10	0000000303	0.505 	0.219   	138.300
 230	10 min	10:27 17.07.10	10:37 17.07.10	0000000327	0.545 	0.236   	138.300
 231	10 min	10:37 17.07.10	10:47 17.07.10	0000000309	0.515 	0.223   	138.300
 232	10 min	10:47 17.07.10	10:57 17.07.10	0000000282	0.470 	0.204   	138.300
 233	10 min	10:57 17.07.10	11:07 17.07.10	0000000306	0.510 	0.221   	138.300
 234	10 min	11:07 17.07.10	11:17 17.07.10	0000000276	0.460 	0.200   	138.300
 235	10 min	11:17 17.07.10	11:27 17.07.10	0000000306	0.510 	0.221   	138.300
 236	10 min	11:27 17.07.10	11:37 17.07.10	0000000308	0.513 	0.223   	138.300
 237	10 min	11:37 17.07.10	11:47 17.07.10	0000000309	0.515 	0.223   	138.300
 238	10 min	11:47 17.07.10	11:57 17.07.10	0000000335	0.558 	0.242   	138.300
 239	10 min	11:57 17.07.10	12:07 17.07.10	0000000294	0.490 	0.213   	138.300
 240	10 min	12:07 17.07.10	12:17 17.07.10	0000000270	0.450 	0.195   	138.300
 241	10 min	12:17 17.07.10	12:27 17.07.10	0000000285	0.475 	0.206   	138.300
 242	10 min	12:27 17.07.10	12:37 17.07.10	0000000273	0.455 	0.197   	138.300
 243	10 min	12:37 17.07.10	12:47 17.07.10	0000000312	0.520 	0.226   	138.300
 244	10 min	12:47 17.07.10	12:57 17.07.10	0000000320	0.533 	0.231   	138.300
 245	10 min	12:57 17.07.10	13:07 17.07.10	0000000287	0.478 	0.208   	138.300
 246	10 min	13:07 17.07.10	13:17 17.07.10	0000000299	0.498 	0.216   	138.300
 247	10 min	13:17 17.07.10	13:27 17.07.10	0000000277	0.462 	0.200   	138.300
 248	10 min	13:27 17.07.10	13:37 17.07.10	0000000315	0.525 	0.228   	138.300
 249	10 min	13:37 17.07.10	13:47 17.07.10	0000000294	0.490 	0.213   	138.300
 250	10 min	13:47 17.07.10	13:57 17.07.10	0000000308	0.513 	0.223   	138.300
 251	10 min	13:57 17.07.10	14:07 17.07.10	0000000319	0.532 	0.231   	138.300
 252	10 min	14:07 17.07.10	14:17 17.07.10	0000000317	0.528 	0.229   	138.300
 253	10 min	14:17 17.07.10	14:27 17.07.10	0000000289	0.482 	0.209   	138.300
 254	10 min	14:27 17.07.10	14:37 17.07.10	0000000304	0.507 	0.220   	138.300
 255	10 min	14:37 17.07.10	14:47 17.07.10	0000000318	0.530 	0.230   	138.300
 256	10 min	14:47 17.07.10	14:57 17.07.10	0000000319	0.532 	0.231   	138.300
 257	10 min	14:57 17.07.10	15:07 17.07.10	0000000298	0.497 	0.215   	138.300
 258	10 min	15:07 17.07.10	15:17 17.07.10	0000000313	0.522 	0.226   	138.300
 259	10 min	15:17 17.07.10	15:27 17.07.10	0000000288	0.480 	0.208   	138.300
 260	10 min	15:27 17.07.10	15:37 17.07.10	0000000306	0.510 	0.221   	138.300
 261	10 min	15:37 17.07.10	15:47 17.07.10	0000000296	0.493 	0.214   	138.300
 262	10 min	15:47 17.07.10	15:57 17.07.10	0000000279	0.465 	0.202   	138.300
 263	10 min	15:57 17.07.10	16:07 17.07.10	0000000288	0.480 	0.208   	138.300
 264	10 min	16:07 17.07.10	16:17 17.07.10	0000000294	0.490 	0.213   	138.300
 265	10 min	16:17 17.07.10	16:27 17.07.10	0000000297	0.495 	0.215   	138.300
 266	10 min	16:27 17.07.10	16:37 17.07.10	0000000267	0.445 	0.193   	138.300
 267	10 min	16:37 17.07.10	16:47 17.07.10	0000000321	0.535 	0.232   	138.300
 268	10 min	16:47 17.07.10	16:57 17.07.10	0000000328	0.547 	0.237   	138.300
 269	10 min	16:57 17.07.10	17:07 17.07.10	0000000299	0.498 	0.216   	138.300
