!CSV A.01.01
!Agilent Technologies,N5230C,MY49000690,A.09.42.22
!Agilent N5230C: A.09.42.22
!Date: Wednesday, April 12, 2017 13:51:46
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
8571625000,0.46971041,149.68607,0.88002944,-120.87189,0.8807112,-121.00052,0.46966735,149.21941
8574187500,0.47035703,149.53886,0.88172925,-120.95725,0.8814466,-121.0619,0.46868071,149.1436
8576750000,0.46885294,149.44832,0.88090992,-120.99057,0.88116831,-121.24831,0.46800846,149.14024
8579312500,0.46860862,149.39133,0.88071346,-121.03439,0.88219333,-121.2828,0.46798131,149.15933
8581875000,0.46836561,149.37759,0.88005233,-121.13218,0.88251203,-121.24751,0.46688625,149.03282
8584437500,0.46786332,149.27618,0.8809666,-121.29967,0.88230848,-121.25635,0.46626648,149.00851
8587000000,0.46650353,149.22966,0.88112974,-121.29991,0.88165206,-121.37245,0.46682513,148.87787
8589562500,0.46658564,149.24602,0.88060766,-121.31712,0.88284039,-121.38543,0.46627474,148.78111
8592125000,0.46584108,149.12843,0.88281089,-121.41369,0.88162881,-121.48878,0.46571594,148.74921
8594687500,0.46640736,149.03748,0.88363385,-121.23234,0.8848592,-121.57703,0.46500111,148.90512
8597250000,0.46446267,149.09964,0.88161385,-121.52117,0.88137347,-121.46246,0.46438709,148.69058
8599812500,0.46447045,149.04684,0.88432723,-121.424,0.88299108,-121.55677,0.46485144,148.79153
8602375000,0.46490622,148.95364,0.88491207,-121.69818,0.88505936,-121.71198,0.46439844,148.46843
8604937500,0.46455747,149.03758,0.88456237,-121.79402,0.88488984,-121.59119,0.46352527,148.38464
8607500000,0.463552,148.81506,0.88456619,-121.69785,0.88615358,-121.76024,0.46355101,148.55627
8610062500,0.4614934,148.64476,0.88476723,-121.48467,0.88348526,-122.00552,0.46266127,148.67841
8612625000,0.46284664,148.56114,0.88478172,-121.92192,0.88633758,-121.98608,0.46304497,148.39333
8615187500,0.46251756,148.45364,0.88684493,-121.82947,0.88661742,-121.99986,0.462264,148.53072
8617750000,0.46155462,148.58765,0.88531762,-121.80919,0.88531768,-122.07404,0.46136656,148.33786
8620312500,0.46150312,148.57538,0.88770568,-121.91488,0.88443512,-122.09011,0.46088281,148.2597
8622875000,0.46132398,148.56987,0.88505697,-121.86779,0.88450032,-122.12692,0.45953128,148.26857
8625437500,0.46090829,148.11362,0.88500565,-122.05066,0.88637775,-122.32764,0.45931035,148.23854
8628000000,0.45875973,148.41217,0.88699275,-122.07323,0.88473427,-122.2342,0.45981994,148.1543
8630562500,0.45766321,148.09491,0.88455075,-122.16663,0.88670957,-122.50945,0.45921192,147.98476
8633125000,0.45818725,148.24611,0.88980478,-122.29658,0.88640773,-122.4608,0.45958185,147.98869
8635687500,0.45961201,148.11752,0.88880181,-122.29096,0.88886714,-122.52985,0.45936283,147.96553
8638250000,0.45659858,148.16069,0.88705432,-122.49943,0.88584828,-122.4528,0.45749837,147.9032
8640812500,0.45832074,147.9119,0.88667119,-122.37429,0.8884747,-122.68995,0.45759183,147.86525
8643375000,0.45728874,147.86253,0.88687748,-122.53827,0.88839006,-122.56371,0.45768371,147.76297
8645937500,0.45656314,147.9407,0.88915414,-122.40948,0.88779074,-122.71049,0.45700592,147.78255
8648500000,0.45723492,147.9502,0.88955039,-122.4165,0.88958114,-122.8297,0.45672596,147.75177
8651062500,0.45485583,147.72649,0.88689905,-122.59632,0.88648444,-122.76197,0.45566815,147.64236
8653625000,0.4539116,147.76331,0.88694084,-122.68984,0.88669628,-122.77824,0.45557505,147.636
8656187500,0.45425117,147.67212,0.88797343,-122.78802,0.88880765,-122.82579,0.45593697,147.55313
8658750000,0.4545069,147.60158,0.89063889,-122.75475,0.88763332,-122.81062,0.45578364,147.67268
8661312500,0.45388168,147.51959,0.88825279,-122.8131,0.88813663,-123.08106,0.45453882,147.57309
