!CSV A.01.01
!Agilent Technologies,N5230C,MY49000690,A.09.42.22
!Agilent N5230C: A.09.42.22
!Date: Monday, April 10, 2017 10:36:31
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
8469125000,-0.56266356,-0.031374317,-0.20217554,-0.80368876,-0.2058911,-0.80076468,-0.48034769,0.29401129
8471687500,-0.56358278,-0.031034781,-0.20549984,-0.80296814,-0.20830929,-0.80218399,-0.47866163,0.29639882
8474250000,-0.56119466,-0.030760223,-0.20435375,-0.80243725,-0.20743482,-0.79957926,-0.47818223,0.29556808
8476812500,-0.56077862,-0.029578803,-0.20444998,-0.80165333,-0.20729333,-0.80003494,-0.47832382,0.29459271
8479375000,-0.56114268,-0.030145399,-0.2048995,-0.80206913,-0.2078332,-0.80165559,-0.47835079,0.29582492
8481937500,-0.56002986,-0.028899504,-0.20271863,-0.80016023,-0.21018428,-0.79958802,-0.47630221,0.29486108
8484500000,-0.56141514,-0.031493012,-0.20832382,-0.80218238,-0.20777071,-0.80160511,-0.47576308,0.29791719
8487062500,-0.56150717,-0.029725831,-0.20729069,-0.80232584,-0.2106366,-0.80217046,-0.47591195,0.29786706
8489625000,-0.56177932,-0.029614842,-0.20705537,-0.80302191,-0.2103247,-0.80213702,-0.47601426,0.29702154
8492187500,-0.56142074,-0.028994074,-0.20763701,-0.80416924,-0.21278602,-0.80038214,-0.47551453,0.29767346
8494750000,-0.56126291,-0.028473375,-0.21150902,-0.80398691,-0.21373691,-0.7999633,-0.47486567,0.29992446
8497312500,-0.56150985,-0.027462767,-0.21140838,-0.8029905,-0.21396272,-0.80254471,-0.47512442,0.2992945
8499875000,-0.56105399,-0.02806964,-0.21069114,-0.80151594,-0.21410736,-0.80418336,-0.47525594,0.29927075
8502437500,-0.55982488,-0.027454806,-0.21229167,-0.80179852,-0.21401389,-0.80189717,-0.47486314,0.30032098
8505000000,-0.55961883,-0.026412264,-0.21220461,-0.80275184,-0.21680446,-0.8000555,-0.47335753,0.29992133
8507562500,-0.56037247,-0.027504314,-0.21362346,-0.80426997,-0.21497503,-0.80096173,-0.47253945,0.30017176
8510125000,-0.55913472,-0.02657767,-0.21260843,-0.8025381,-0.21871655,-0.80049276,-0.47220284,0.30082738
8512687500,-0.55952865,-0.025895633,-0.21280545,-0.80231041,-0.21869856,-0.80002367,-0.4714056,0.30046257
8515250000,-0.55917335,-0.026948664,-0.21543792,-0.79972965,-0.21545422,-0.80090809,-0.47041795,0.3016656
8517812500,-0.55961192,-0.026414454,-0.21590111,-0.80208075,-0.2165343,-0.80147958,-0.47116274,0.30179346
