!CSV A.01.01
!Agilent Technologies,N5230C,MY49000690,A.09.42.22
!Agilent N5230C: A.09.42.22
!Date: Wednesday, April 12, 2017 13:45:58
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
8597250000,-0.45107323,-0.21160705,-0.14413619,-0.85621619,-0.1459512,-0.85561335,-0.35996711,0.34385136
8599812500,-0.45166045,-0.2113034,-0.14427362,-0.85421509,-0.1463875,-0.85438257,-0.35710889,0.34513706
8602375000,-0.4525941,-0.2118392,-0.14529678,-0.85693729,-0.14670318,-0.85482627,-0.35658243,0.34475306
8604937500,-0.45177233,-0.21201733,-0.14746583,-0.85340726,-0.14731938,-0.85438466,-0.35440809,0.34655455
8607500000,-0.45097309,-0.21080816,-0.1475756,-0.85394853,-0.14729066,-0.8537432,-0.35519555,0.34664613
8610062500,-0.45159161,-0.20982343,-0.1471758,-0.85354143,-0.15067415,-0.85659808,-0.35571215,0.34646139
8612625000,-0.45193753,-0.20952412,-0.14542527,-0.85442024,-0.14971572,-0.85456532,-0.35480097,0.3454029
8615187500,-0.45163015,-0.20923583,-0.14652582,-0.85598749,-0.15010314,-0.85461038,-0.35463566,0.34482825
8617750000,-0.45089009,-0.21090975,-0.14975782,-0.85578048,-0.14981718,-0.85237634,-0.35356352,0.34740487
8620312500,-0.45264187,-0.20930457,-0.14880131,-0.85360432,-0.15332744,-0.85533571,-0.3524133,0.34772581
8622875000,-0.45270801,-0.20807162,-0.15180574,-0.85672009,-0.15586193,-0.85628092,-0.35294661,0.34722462
8625437500,-0.45228714,-0.2085624,-0.15467642,-0.85321498,-0.15489568,-0.85292,-0.35232756,0.34732509
8628000000,-0.45065466,-0.20835985,-0.15372889,-0.85231566,-0.15556115,-0.8532573,-0.351834,0.34838802
8630562500,-0.45060086,-0.2087519,-0.15392749,-0.85248125,-0.15640995,-0.85464817,-0.3507548,0.3492097
8633125000,-0.4514448,-0.20890333,-0.15498634,-0.85573292,-0.15634355,-0.85409516,-0.35110444,0.34970137
