

-----------------------------------------------------------------------------
       Gamma-Scout    -- Calculation of Raw-Data --
-----------------------------------------------------------------------------
       "File : GAMMA_2010_07_09_09-14-27.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second)
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.
Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------------------------------------------------------------
                                PROCESSED DATA :
-----------------------------------------------------------------------------
Nr.	Range   	from	            to			Counts		Rate		Dose
-----------------------------------------------------------------------------
 93	 1 min	00:52 09.07.10	00:53 09.07.10	0000000048	0.800 	0.521  
 94	 1 min	00:53 09.07.10	00:54 09.07.10	0000000026	0.433 	0.282  
 95	 1 min	00:54 09.07.10	00:55 09.07.10	0000000036	0.600 	0.391  
 96	 1 min	00:55 09.07.10	00:56 09.07.10	0000000035	0.583 	0.380  
 97	 1 min	00:56 09.07.10	00:57 09.07.10	0000000036	0.600 	0.391  
 98	 1 min	00:57 09.07.10	00:58 09.07.10	0000000030	0.500 	0.326  
 99	 1 min	00:58 09.07.10	00:59 09.07.10	0000000041	0.683 	0.445  
 100	 1 min	00:59 09.07.10	01:00 09.07.10	0000000035	0.583 	0.380  
 101	 1 min	01:00 09.07.10	01:01 09.07.10	0000000027	0.450 	0.293  
 102	 1 min	01:01 09.07.10	01:02 09.07.10	0000000027	0.450 	0.293  
 103	 1 min	01:02 09.07.10	01:03 09.07.10	0000000041	0.683 	0.445  
 104	 1 min	01:03 09.07.10	01:04 09.07.10	0000000036	0.600 	0.391  
 105	 1 min	01:04 09.07.10	01:05 09.07.10	0000000031	0.517 	0.337  
 106	 1 min	01:05 09.07.10	01:06 09.07.10	0000000036	0.600 	0.391  
 107	 1 min	01:06 09.07.10	01:07 09.07.10	0000000039	0.650 	0.423  
 108	 1 min	01:07 09.07.10	01:08 09.07.10	0000000030	0.500 	0.326  
 109	 1 min	01:08 09.07.10	01:09 09.07.10	0000000031	0.517 	0.337  
 110	 1 min	01:09 09.07.10	01:10 09.07.10	0000000019	0.317 	0.206  
 111	 1 min	01:10 09.07.10	01:11 09.07.10	0000000025	0.417 	0.271  
 112	 1 min	01:11 09.07.10	01:12 09.07.10	0000000024	0.400 	0.261  
 113	 1 min	01:12 09.07.10	01:13 09.07.10	0000000027	0.450 	0.293  
 114	 1 min	01:13 09.07.10	01:14 09.07.10	0000000036	0.600 	0.391  
 115	 1 min	01:14 09.07.10	01:15 09.07.10	0000000033	0.550 	0.358  
 116	 1 min	01:15 09.07.10	01:16 09.07.10	0000000031	0.517 	0.337  
 117	 1 min	01:16 09.07.10	01:17 09.07.10	0000000034	0.567 	0.369  
 118	 1 min	01:17 09.07.10	01:18 09.07.10	0000000033	0.550 	0.358  
 119	 1 min	01:18 09.07.10	01:19 09.07.10	0000000030	0.500 	0.326  
 120	 1 min	01:19 09.07.10	01:20 09.07.10	0000000036	0.600 	0.391  
 121	 1 min	01:20 09.07.10	01:21 09.07.10	0000000045	0.750 	0.489  
 122	 1 min	01:21 09.07.10	01:22 09.07.10	0000000034	0.567 	0.369  
 123	 1 min	01:22 09.07.10	01:23 09.07.10	0000000029	0.483 	0.315  
 124	 1 min	01:23 09.07.10	01:24 09.07.10	0000000030	0.500 	0.326  
 125	 1 min	01:24 09.07.10	01:25 09.07.10	0000000027	0.450 	0.293  
 126	 1 min	01:25 09.07.10	01:26 09.07.10	0000000022	0.367 	0.239  
 127	 1 min	01:26 09.07.10	01:27 09.07.10	0000000031	0.517 	0.337  
 128	 1 min	01:27 09.07.10	01:28 09.07.10	0000000036	0.600 	0.391  
 129	 1 min	01:28 09.07.10	01:29 09.07.10	0000000038	0.633 	0.413  
 130	 1 min	01:29 09.07.10	01:30 09.07.10	0000000032	0.533 	0.347  
 131	 1 min	01:30 09.07.10	01:31 09.07.10	0000000034	0.567 	0.369  
 132	 1 min	01:31 09.07.10	01:32 09.07.10	0000000036	0.600 	0.391  
 133	 1 min	01:32 09.07.10	01:33 09.07.10	0000000032	0.533 	0.347  
 134	 1 min	01:33 09.07.10	01:34 09.07.10	0000000039	0.650 	0.423  
 135	 1 min	01:34 09.07.10	01:35 09.07.10	0000000018	0.300 	0.195  
 136	 1 min	01:35 09.07.10	01:36 09.07.10	0000000023	0.383 	0.250  
 137	 1 min	01:36 09.07.10	01:37 09.07.10	0000000034	0.567 	0.369  
 138	 1 min	01:37 09.07.10	01:38 09.07.10	0000000027	0.450 	0.293  
 139	 1 min	01:38 09.07.10	01:39 09.07.10	0000000030	0.500 	0.326  
 140	 1 min	01:39 09.07.10	01:40 09.07.10	0000000033	0.550 	0.358  
 141	 1 min	01:40 09.07.10	01:41 09.07.10	0000000018	0.300 	0.195  
 142	 1 min	01:41 09.07.10	01:42 09.07.10	0000000040	0.667 	0.434  
 143	 1 min	01:42 09.07.10	01:43 09.07.10	0000000030	0.500 	0.326  
 144	 1 min	01:43 09.07.10	01:44 09.07.10	0000000028	0.467 	0.304  
 145	 1 min	01:44 09.07.10	01:45 09.07.10	0000000028	0.467 	0.304  
 146	 1 min	01:45 09.07.10	01:46 09.07.10	0000000036	0.600 	0.391  
 147	 1 min	01:46 09.07.10	01:47 09.07.10	0000000028	0.467 	0.304  
 148	 1 min	01:47 09.07.10	01:48 09.07.10	0000000036	0.600 	0.391  
 149	 1 min	01:48 09.07.10	01:49 09.07.10	0000000032	0.533 	0.347  
 150	 1 min	01:49 09.07.10	01:50 09.07.10	0000000036	0.600 	0.391  
 151	 1 min	01:50 09.07.10	01:51 09.07.10	0000000027	0.450 	0.293  
 152	 1 min	01:51 09.07.10	01:52 09.07.10	0000000037	0.617 	0.402  
 153	 1 min	01:52 09.07.10	01:53 09.07.10	0000000031	0.517 	0.337  
 154	 1 min	01:53 09.07.10	01:54 09.07.10	0000000030	0.500 	0.326  
 155	 1 min	01:54 09.07.10	01:55 09.07.10	0000000035	0.583 	0.380  
 156	 1 min	01:55 09.07.10	01:56 09.07.10	0000000033	0.550 	0.358  
 157	 1 min	01:56 09.07.10	01:57 09.07.10	0000000036	0.600 	0.391  
 158	 1 min	01:57 09.07.10	01:58 09.07.10	0000000029	0.483 	0.315  
 159	 1 min	01:58 09.07.10	01:59 09.07.10	0000000026	0.433 	0.282  
 160	 1 min	01:59 09.07.10	02:00 09.07.10	0000000030	0.500 	0.326  
 161	 1 min	02:00 09.07.10	02:01 09.07.10	0000000026	0.433 	0.282  
 162	 1 min	02:01 09.07.10	02:02 09.07.10	0000000035	0.583 	0.380  
 163	 1 min	02:02 09.07.10	02:03 09.07.10	0000000030	0.500 	0.326  
 164	 1 min	02:03 09.07.10	02:04 09.07.10	0000000041	0.683 	0.445  
 165	 1 min	02:04 09.07.10	02:05 09.07.10	0000000029	0.483 	0.315  
 166	 1 min	02:05 09.07.10	02:06 09.07.10	0000000033	0.550 	0.358  
 167	 1 min	02:06 09.07.10	02:07 09.07.10	0000000039	0.650 	0.423  
 168	 1 min	02:07 09.07.10	02:08 09.07.10	0000000037	0.617 	0.402  
 169	 1 min	02:08 09.07.10	02:09 09.07.10	0000000037	0.617 	0.402  
 170	 1 min	02:09 09.07.10	02:10 09.07.10	0000000035	0.583 	0.380  
 171	 1 min	02:10 09.07.10	02:11 09.07.10	0000000035	0.583 	0.380  
 172	 1 min	02:11 09.07.10	02:12 09.07.10	0000000033	0.550 	0.358  
 173	 1 min	02:12 09.07.10	02:13 09.07.10	0000000030	0.500 	0.326  
 174	 1 min	02:13 09.07.10	02:14 09.07.10	0000000029	0.483 	0.315  
 175	 1 min	02:14 09.07.10	02:15 09.07.10	0000000032	0.533 	0.347  
 176	 1 min	02:15 09.07.10	02:16 09.07.10	0000000032	0.533 	0.347  
 177	 1 min	02:16 09.07.10	02:17 09.07.10	0000000034	0.567 	0.369  
 178	 1 min	02:17 09.07.10	02:18 09.07.10	0000000017	0.283 	0.185  
 179	 1 min	02:18 09.07.10	02:19 09.07.10	0000000027	0.450 	0.293  
 180	 1 min	02:19 09.07.10	02:20 09.07.10	0000000033	0.550 	0.358  
 181	 1 min	02:20 09.07.10	02:21 09.07.10	0000000034	0.567 	0.369  
 182	 1 min	02:21 09.07.10	02:22 09.07.10	0000000037	0.617 	0.402  
 183	 1 min	02:22 09.07.10	02:23 09.07.10	0000000025	0.417 	0.271  
 184	 1 min	02:23 09.07.10	02:24 09.07.10	0000000032	0.533 	0.347  
 185	 1 min	02:24 09.07.10	02:25 09.07.10	0000000021	0.350 	0.228  
 186	 1 min	02:25 09.07.10	02:26 09.07.10	0000000040	0.667 	0.434  
 187	 1 min	02:26 09.07.10	02:27 09.07.10	0000000030	0.500 	0.326  
 188	 1 min	02:27 09.07.10	02:28 09.07.10	0000000036	0.600 	0.391  
 189	 1 min	02:28 09.07.10	02:29 09.07.10	0000000030	0.500 	0.326  
 190	 1 min	02:29 09.07.10	02:30 09.07.10	0000000026	0.433 	0.282  
 191	 1 min	02:30 09.07.10	02:31 09.07.10	0000000023	0.383 	0.250  
 192	 1 min	02:31 09.07.10	02:32 09.07.10	0000000033	0.550 	0.358  
 193	 1 min	02:32 09.07.10	02:33 09.07.10	0000000031	0.517 	0.337  
 194	 1 min	02:33 09.07.10	02:34 09.07.10	0000000026	0.433 	0.282  
 195	 1 min	02:34 09.07.10	02:35 09.07.10	0000000028	0.467 	0.304  
 196	 1 min	02:35 09.07.10	02:36 09.07.10	0000000027	0.450 	0.293  
 197	 1 min	02:36 09.07.10	02:37 09.07.10	0000000033	0.550 	0.358  
 198	 1 min	02:37 09.07.10	02:38 09.07.10	0000000026	0.433 	0.282  
 199	 1 min	02:38 09.07.10	02:39 09.07.10	0000000034	0.567 	0.369  
 200	 1 min	02:39 09.07.10	02:40 09.07.10	0000000025	0.417 	0.271  
 201	 1 min	02:40 09.07.10	02:41 09.07.10	0000000029	0.483 	0.315  
 202	 1 min	02:41 09.07.10	02:42 09.07.10	0000000021	0.350 	0.228  
 203	 1 min	02:42 09.07.10	02:43 09.07.10	0000000026	0.433 	0.282  
 204	 1 min	02:43 09.07.10	02:44 09.07.10	0000000036	0.600 	0.391  
 205	 1 min	02:44 09.07.10	02:45 09.07.10	0000000034	0.567 	0.369  
 206	 1 min	02:45 09.07.10	02:46 09.07.10	0000000033	0.550 	0.358  
 207	 1 min	02:46 09.07.10	02:47 09.07.10	0000000031	0.517 	0.337  
 208	 1 min	02:47 09.07.10	02:48 09.07.10	0000000028	0.467 	0.304  
 209	 1 min	02:48 09.07.10	02:49 09.07.10	0000000037	0.617 	0.402  
 210	 1 min	02:49 09.07.10	02:50 09.07.10	0000000038	0.633 	0.413  
 211	 1 min	02:50 09.07.10	02:51 09.07.10	0000000028	0.467 	0.304  
 212	 1 min	02:51 09.07.10	02:52 09.07.10	0000000027	0.450 	0.293  
 213	 1 min	02:52 09.07.10	02:53 09.07.10	0000000029	0.483 	0.315  
 214	 1 min	02:53 09.07.10	02:54 09.07.10	0000000026	0.433 	0.282  
 215	 1 min	02:54 09.07.10	02:55 09.07.10	0000000027	0.450 	0.293  
 216	 1 min	02:55 09.07.10	02:56 09.07.10	0000000029	0.483 	0.315  
 217	 1 min	02:56 09.07.10	02:57 09.07.10	0000000030	0.500 	0.326  
 218	 1 min	02:57 09.07.10	02:58 09.07.10	0000000026	0.433 	0.282  
 219	 1 min	02:58 09.07.10	02:59 09.07.10	0000000020	0.333 	0.217  
 220	 1 min	02:59 09.07.10	03:00 09.07.10	0000000027	0.450 	0.293  
 221	 1 min	03:00 09.07.10	03:01 09.07.10	0000000035	0.583 	0.380  
 222	 1 min	03:01 09.07.10	03:02 09.07.10	0000000034	0.567 	0.369  
 223	 1 min	03:02 09.07.10	03:03 09.07.10	0000000040	0.667 	0.434  
